N	2gram	Tiupa_Lite_2	StatiiOP
1	и в	19	25
2	в этом	9	24
3	в том	10	20
4	что в	4	19
5	что он	3	19
6	может быть	17	19
7	тем что	4	19
8	том что	7	15
9	в этой	3	14
10	в его	4	12
11	то что	7	12
12	не только	8	12
13	так что	4	11
14	прежде всего	4	10
15	и не	11	10
16	у него	2	9
17	но и	10	9
18	и т	2	8
19	в своих	2	8
20	о том	2	8
21	было бы	2	7
22	не может	9	7
23	точки зрения	4	7
24	в то	9	7
25	в конце	2	6
26	не в	4	6
27	как бы	2	6
28	как на	3	6
29	а в	3	6
30	и на	6	6
31	т п	2	6
32	в русской	4	6
33	в россии	2	6
34	в области	4	6
35	то же	12	5
36	в них	2	5
37	потому что	2	5
38	с другой	8	5
39	такого рода	9	5
40	в году	5	5
41	а не	20	5
42	того что	5	5
43	другой стороны	4	5
44	он не	5	5
45	так и	7	5
46	но в	2	5
47	этом отношении	3	4
48	с тем	2	4
49	состоит в	9	4
50	и др	3	4
51	по крайней	2	4
52	в жизни	2	4
53	в каждом	2	4
54	крайней мере	2	4
55	у нас	5	4
56	как и	10	4
57	но это	3	4
58	в начале	3	4
59	то в	2	4
60	в качестве	5	4
61	и к	2	4
62	в ней	4	4
63	а также	2	4
64	в целом	2	4
65	не было	2	4
66	из которых	2	4
67	с точки	3	4
68	и для	3	4
69	и с	3	4
70	все же	2	4
71	ничего не	3	4
72	уже в	2	3
73	в какой	2	3
74	же время	9	3
75	в стихотворении	13	3
76	с этой	2	3
77	для него	4	3
78	что я	2	3
79	и что	2	3
80	на этом	2	3
81	до конца	2	3
82	одной стороны	6	3
83	нет в	2	3
84	и наконец	2	3
85	обращается к	3	3
86	не является	2	3
87	своего рода	13	3
88	со стороны	3	3
89	в их	3	3
90	как раз	2	3
91	уже не	2	3
92	не так	2	3
93	и его	3	3
94	в другом	3	3
95	так как	3	3
96	я и	4	3
97	русской поэзии	3	2
98	не менее	6	2
99	никогда не	3	2
100	себя и	2	2
101	в стихах	8	2
102	для этого	2	2
103	не столько	3	2
104	в поэзии	3	2
105	в рамках	4	2
106	вовсе не	2	2
107	в такой	2	2
108	х годов	3	2
109	такой же	3	2
110	но не	5	2
111	того же	4	2
112	еще не	2	2
113	одной из	2	2
114	в сущности	3	2
115	во всех	3	2
116	при всей	2	2
117	одна из	5	2
118	том чтобы	3	2
119	в виду	2	2
120	речь идет	3	2
121	если в	2	2
122	один из	4	2
123	тем не	2	2
124	и за	2	2
125	вместе с	5	2
126	и только	2	2
127	быть не	2	2
128	с ее	2	2
129	как я	3	2
130	с одной	7	2
131	и других	4	2
132	а потому	2	2
133	о которой	2	2
134	для того	2	2
135	что не	2	2
136	той же	2	2
137	мы не	4	2
138	в результате	2	2
139	то и	3	2
140	одно из	2	2
141	могут быть	2	2
142	он и	2	2
143	но как	2	2
144	в русском	2	2
145	разумеется не	2	2
146	к этой	2	2
147	в каждой	2	2
148	то есть	5	2
