N	2gram	Ircho_Kome_3	Analitik
1	в качестве	2	31
2	может быть	6	29
3	в том	12	27
4	не может	3	22
5	и не	21	21
6	в частности	3	19
7	и в	22	18
8	а не	4	17
9	но и	4	17
10	представляет собой	3	16
11	отнюдь не	4	15
12	не только	5	15
13	не в	4	14
14	как и	3	13
15	в его	8	13
16	в этом	8	13
17	том что	13	12
18	при этом	7	12
19	состоит в	2	11
20	в себе	4	11
21	то же	7	9
22	а в	7	9
23	в то	6	9
24	в мире	2	8
25	нуждается в	2	8
26	но в	5	8
27	к тому	6	7
28	это не	2	6
29	прежде всего	5	6
30	перед лицом	2	6
31	же время	5	6
32	в самом	9	6
33	в сущности	2	6
34	далеко не	3	6
35	должен быть	2	6
36	то что	4	6
37	в своей	5	6
38	отличие от	2	6
39	по отношению	5	6
40	в основе	2	6
41	точки зрения	4	6
42	в этой	3	5
43	что в	5	5
44	как бы	3	5
45	отношению к	3	5
46	в целом	3	5
47	в их	2	5
48	и его	6	5
49	между тем	2	5
50	и на	2	5
51	о том	8	5
52	на вопрос	2	4
53	себя и	2	4
54	конечном счете	2	4
55	столь же	3	4
56	с другой	4	4
57	ни в	10	4
58	тому же	6	4
59	того же	6	4
60	для того	6	4
61	в области	2	4
62	в конечном	2	4
63	не с	2	4
64	все же	4	4
65	вместе с	9	4
66	так и	4	4
67	дело с	3	4
68	из того	3	4
69	ни было	2	4
70	более чем	5	4
71	из которых	2	4
72	с точки	3	4
73	с другими	2	4
74	в другом	2	4
75	исходя из	2	4
76	всего лишь	2	4
77	с ним	5	4
78	не могут	2	3
79	с его	3	3
80	однако в	4	3
81	то ни	3	3
82	хотя бы	4	3
83	и все	2	3
84	в нем	3	3
85	и к	3	3
86	что он	8	3
87	и т	4	3
88	в силу	2	3
89	еще не	6	3
90	одной стороны	3	3
91	что не	3	3
92	одним из	2	3
93	он не	5	3
94	в котором	2	3
95	дело не	2	3
96	что и	8	3
97	не будет	2	3
98	бы то	2	3
99	таким образом	12	3
100	с одной	3	3
101	того чтобы	6	3
102	к нему	5	3
103	в таком	2	3
104	т п	4	3
105	что мы	2	3
106	как он	3	3
107	а также	2	3
108	если бы	8	3
109	только для	2	2
110	никогда не	3	2
111	между собой	4	2
112	в какой	3	2
113	не является	4	2
114	вовсе не	4	2
115	а как	2	2
116	в начале	3	2
117	х годов	2	2
118	и сам	5	2
119	отношение к	5	2
120	в пределах	2	2
121	было бы	3	2
122	несмотря на	4	2
123	себе в	3	2
124	на его	2	2
125	за пределы	2	2
126	при всей	2	2
127	и о	2	2
128	не о	3	2
129	в свое	2	2
130	одного из	3	2
131	за пределами	2	2
132	нет и	4	2
133	один из	3	2
134	представляют собой	2	2
135	из них	5	2
136	со стороны	11	2
137	который в	3	2
138	другой стороны	2	2
139	здесь не	2	2
140	бы не	2	2
141	отношения к	2	2
142	этом отношении	2	2
143	в двух	3	2
144	самом деле	6	2
145	едва ли	7	2
146	в т	3	2
147	следует что	3	2
148	роль в	2	2
149	как мы	2	2
150	на себя	4	2
151	тем более	4	2
152	в присутствии	2	2
153	текста не	2	2
154	же самое	3	2
155	нет ничего	2	2
156	так как	11	2
157	потому что	10	2
158	в которой	3	2
159	и с	4	2
