N	2gram	Tiupa_Vved_1	FransuaR
1	и в	13	65
2	то есть	8	45
3	как бы	4	22
4	и не	12	22
5	и т.п	9	17
6	в том	10	16
7	в этом	21	15
8	но в	6	14
9	в нем	5	13
10	нового времени	3	13
11	прежде всего	7	11
12	и на	3	11
13	и его	5	10
14	не только	20	10
15	но и	19	10
16	так и	8	10
17	в его	4	9
18	во всех	2	9
19	по своему	2	8
20	в своем	5	8
21	в основе	3	8
22	в области	3	7
23	жизни и	7	7
24	только в	6	7
25	никогда не	4	6
26	том что	7	6
27	все же	6	6
28	как мы	3	6
29	времени и	7	6
30	еще не	7	6
31	при этом	26	6
32	может быть	18	6
33	в ней	4	6
34	на самом	4	6
35	в литературе	2	6
36	в частности	13	5
37	жизни в	4	5
38	в них	2	5
39	потому что	5	5
40	отличие от	2	5
41	есть в	2	5
42	или иной	3	5
43	для него	3	5
44	в своей	5	5
45	той или	3	5
46	как в	4	5
47	как и	11	5
48	в той	4	5
49	в своих	2	5
50	и все	4	5
51	и к	2	4
52	не в	6	4
53	отношение к	2	4
54	в самом	2	4
55	для нас	2	4
56	в отличие	2	4
57	мира и	2	4
58	так сказать	2	4
59	в жизни	4	4
60	но на	2	3
61	что в	3	3
62	не является	3	3
63	она была	2	3
64	это не	6	3
65	на фоне	2	3
66	но это	3	3
67	мы и	2	3
68	самом деле	3	3
69	картине мира	4	3
70	в ряду	2	3
71	по своей	3	3
72	то что	6	3
73	как раз	2	3
74	не может	7	3
75	этом отношении	4	3
76	уже не	5	3
77	с другой	5	3
78	он и	2	3
79	в себе	5	3
80	далеко не	4	3
81	с ним	3	3
82	и с	2	3
83	мира в	8	3
84	но не	5	2
85	начиная с	3	2
86	к тому	6	2
87	и от	2	2
88	из этих	3	2
89	но при	5	2
90	можно сказать	4	2
91	начало и	2	2
92	в романе	6	2
93	это время	2	2
94	а его	2	2
95	до конца	3	2
96	одной стороны	5	2
97	например в	2	2
98	наряду с	2	2
99	при всей	2	2
100	хотя и	7	2
101	он не	3	2
102	не вполне	3	2
103	подчеркнуть что	5	2
104	и для	3	2
105	образов но	2	2
106	в целом	3	2
107	не к	4	2
108	на него	2	2
109	приводит к	2	2
110	с одной	5	2
111	того что	6	2
112	что мы	2	2
113	и наконец	2	2
114	и по	3	2
115	одним из	5	2
116	их в	2	2
117	в этих	3	2
118	быть только	2	2
119	могут быть	4	2
120	в наиболее	2	2
121	о том	5	2
