N	2gram	Propp_Russ_1	Narrotol
1	не только	22	32
2	может быть	8	25
3	но и	16	23
4	в качестве	3	21
5	и не	6	20
6	и в	36	19
7	то есть	3	19
8	в том	17	18
9	в этом	12	17
10	в частности	2	14
11	том что	19	14
12	состоит в	8	13
13	а не	2	12
14	своего рода	3	12
15	тогда как	2	12
16	представляет собой	4	12
17	то что	6	11
18	а в	9	11
19	не может	4	10
20	точки зрения	3	10
21	при этом	6	9
22	так и	7	9
23	в его	2	9
24	как и	10	7
25	еще не	4	7
26	к тому	4	7
27	а также	3	7
28	все же	5	7
29	как в	5	7
30	но не	2	6
31	как это	8	6
32	о том	8	6
33	но в	2	6
34	и как	2	5
35	отнюдь не	2	5
36	уже не	6	5
37	между двумя	2	5
38	далеко не	3	5
39	переход от	2	4
40	в нем	2	4
41	у него	2	4
42	то же	3	4
43	но все	3	4
44	в силу	2	4
45	связи с	4	4
46	имеет место	2	4
47	как бы	5	4
48	в особенности	2	4
49	только в	4	4
50	как правило	3	4
51	и с	2	4
52	же не	2	4
53	не менее	3	3
54	а с	4	3
55	что в	19	3
56	могут быть	2	3
57	из этих	4	3
58	в прошлом	2	3
59	в свою	3	3
60	тем не	3	3
61	что они	7	3
62	одна из	4	3
63	свою очередь	2	3
64	хотя и	2	3
65	в ней	2	3
66	если в	3	3
67	один из	8	3
68	не с	3	3
69	из них	8	3
70	когда он	2	3
71	как мы	10	3
72	и на	10	3
73	будто бы	6	3
74	между тем	7	3
75	тем что	4	3
76	на себя	2	3
77	как будто	5	3
78	что это	3	3
79	независимо от	2	2
80	себя и	2	2
81	между собой	2	2
82	в своем	3	2
83	что у	2	2
84	в какой	2	2
85	та же	2	2
86	что именно	2	2
87	что на	4	2
88	его как	2	2
89	что иное	2	2
90	по существу	4	2
91	как известно	2	2
92	не что	2	2
93	она не	2	2
94	несмотря на	3	2
95	например в	2	2
96	к другому	2	2
97	вплоть до	4	2
98	и потому	2	2
99	и др	4	2
100	не имеет	6	2
101	и до	2	2
102	приводит к	3	2
103	так же	3	2
104	не на	2	2
105	в связи	4	2
106	не было	2	2
107	все эти	2	2
108	и для	2	2
109	с точки	3	2
110	это не	10	2
111	или в	2	2
112	не случайно	2	2
113	а иногда	4	2
114	одно из	5	2
115	этого слова	3	2
116	представляют собой	7	2
117	ничего не	3	2
118	что по	4	2
119	мы имеем	4	2
120	иное как	2	2
121	о чем	3	2
