N	2gram	Vinokur_St_2	Marksizm
1	может быть	2	28
2	и пр	8	25
3	и в	29	19
4	как бы	5	19
5	и не	9	19
6	не может	2	18
7	в процессе	2	18
8	точки зрения	5	17
9	то же	2	16
10	и его	6	16
11	в этом	21	15
12	таким образом	10	14
13	не только	19	13
14	с точки	2	13
15	связи с	4	13
16	в нем	4	11
17	если бы	2	11
18	вовсе не	6	11
19	не в	4	10
20	но и	19	10
21	том что	27	10
22	так и	9	10
23	для него	4	9
24	при этом	2	9
25	как и	2	9
26	на почве	2	9
27	самом деле	3	9
28	а не	5	9
29	не является	3	8
30	в то	2	8
31	с его	2	8
32	только в	2	8
33	никогда не	3	7
34	в том	27	7
35	его в	2	7
36	но в	8	7
37	и более	2	7
38	прежде всего	5	7
39	в языке	5	7
40	на самом	3	7
41	к тому	10	6
42	ни в	3	6
43	и как	2	6
44	того чтобы	6	6
45	в самом	7	6
46	ни было	2	6
47	между тем	5	6
48	для того	7	6
49	хотя бы	3	6
50	самого начала	3	5
51	то ни	2	5
52	в их	3	5
53	так же	3	5
54	и на	6	5
55	и здесь	3	5
56	к этому	4	5
57	того же	2	5
58	совершенно не	2	5
59	в его	13	5
60	все же	6	5
61	в той	5	5
62	с самого	3	5
63	в данном	2	5
64	выражение в	2	5
65	отношении к	3	5
66	тому что	7	4
67	в отношении	2	4
68	на то	2	4
69	то что	11	4
70	бы то	2	4
71	того что	5	4
72	сказать что	2	4
73	а как	4	4
74	как раз	8	4
75	что он	13	4
76	было бы	5	4
77	связь с	2	4
78	тем же	2	4
79	в себе	2	4
80	ничего не	4	4
81	в этих	3	3
82	в какой	2	3
83	с другой	4	3
84	в этой	2	3
85	в ней	7	3
86	если б	4	3
87	в котором	7	3
88	в каком	2	3
89	с этим	3	3
90	все эти	2	3
91	в другом	4	3
92	не имеет	2	3
93	языка в	2	3
94	не было	3	3
95	в истории	2	3
96	французском языке	2	3
97	о том	17	3
98	так как	2	3
99	в устах	2	3
100	по себе	3	3
101	конечно в	2	3
102	в ее	2	3
103	у нас	3	3
104	в качестве	5	3
105	до сих	6	3
106	одной из	3	3
107	не к	2	3
108	он не	9	3
109	что и	2	3
110	в своей	7	3
111	только что	2	3
112	в отличие	2	3
113	во всяком	3	3
114	и это	2	3
115	отличие от	2	3
116	сих пор	5	3
117	что в	19	2
118	что это	3	2
119	ближайшим образом	2	2
120	в одной	2	2
121	вопрос о	6	2
122	в тех	2	2
123	он был	2	2
124	нас не	2	2
125	тому же	3	2
126	что они	2	2
127	более или	2	2
128	до конца	3	2
129	о чем	5	2
130	значительной степени	2	2
131	одним из	6	2
132	всяком случае	3	2
133	в своем	9	2
134	в особенности	2	2
135	именно в	4	2
136	они не	2	2
137	и даже	3	2
138	как на	9	2
139	конечно и	2	2
140	и с	4	2
141	xix века	3	2
142	в начале	3	2
143	но они	2	2
144	но не	3	2
145	и о	4	2
146	и потому	2	2
147	и именно	3	2
148	или менее	2	2
149	и речи	2	2
150	не на	2	2
151	а с	3	2
152	еще более	4	2
153	в значительной	2	2
154	в речи	4	2
155	и он	3	2
156	тем что	3	2
157	там где	2	2
158	только с	2	2
159	это было	2	2
160	вместе с	7	2
