N	2gram	Tiupa_Hudo_1	formyVre
1	и в	19	46
2	в этом	11	22
3	прежде всего	4	14
4	вовсе не	2	13
5	в романе	3	13
6	и его	12	12
7	только в	5	11
8	не только	16	11
9	во всех	3	11
10	в том	18	10
11	как бы	9	10
12	точки зрения	10	10
13	то есть	18	10
14	но в	7	10
15	не в	7	9
16	мира и	2	9
17	но и	10	9
18	и не	15	9
19	и для	2	9
20	как и	2	8
21	в его	9	8
22	то же	10	8
23	того чтобы	2	8
24	для того	2	8
25	с точки	3	8
26	потому что	3	8
27	в них	2	7
28	в одном	2	7
29	может быть	14	7
30	то что	4	7
31	так и	11	7
32	времени в	2	7
33	и на	2	7
34	никогда не	2	6
35	при этом	13	6
36	еще не	3	6
37	этом мире	2	6
38	его в	2	6
39	все это	2	6
40	в основе	4	6
41	в частности	13	5
42	в своем	2	5
43	в пространстве	2	5
44	в пределах	3	5
45	в то	6	5
46	но не	11	5
47	он не	4	5
48	и др	2	5
49	в нем	5	5
50	что в	6	5
51	все эти	2	5
52	место в	4	4
53	отнюдь не	2	4
54	жизни в	2	4
55	из этих	3	4
56	же время	5	4
57	с ним	2	4
58	том что	8	4
59	в мире	21	4
60	как в	2	4
61	отношения к	2	4
62	человеческой жизни	2	4
63	а не	9	4
64	их в	3	4
65	в себе	9	4
66	о том	2	4
67	том числе	2	3
68	о чем	2	3
69	себя и	2	3
70	не является	4	3
71	того же	2	3
72	как уже	2	3
73	к тому	4	3
74	что он	3	3
75	и как	3	3
76	в качестве	24	3
77	для него	4	3
78	имеет место	2	3
79	хотя и	3	3
80	а также	5	3
81	что и	2	3
82	слова и	2	3
83	ее в	2	3
84	отношение к	5	3
85	в форме	4	3
86	во времени	4	3
87	не на	3	3
88	и другие	2	3
89	таким образом	3	3
90	в их	5	3
91	уже не	4	3
92	того что	4	3
93	и по	2	3
94	а в	12	3
95	на основе	2	3
96	имеем в	3	3
97	в другом	3	3
98	в этих	3	3
99	в виду	5	3
100	мира в	2	3
101	и более	2	2
102	по своему	2	2
103	говорить о	3	2
104	с другой	7	2
105	это не	2	2
106	по себе	2	2
107	или иной	7	2
108	можно сказать	5	2
109	картина мира	5	2
110	в отношении	3	2
111	в самой	2	2
112	именно в	2	2
113	своей жизни	2	2
114	в этой	2	2
115	а на	5	2
116	между ними	4	2
117	картины мира	3	2
118	и к	3	2
119	в аспекте	2	2
120	и о	3	2
121	и потому	2	2
122	жизни но	2	2
123	один из	2	2
124	принадлежит к	3	2
125	быть и	2	2
126	и т.п	4	2
127	не может	7	2
128	здесь не	2	2
129	с одной	2	2
130	в себя	2	2
131	в той	3	2
132	лишь в	4	2
133	жизни как	3	2
134	так же	2	2
135	в данном	4	2
136	то в	2	2
137	автора и	3	2
138	мы имеем	6	2
139	могут быть	4	2
140	но он	3	2
141	самим собою	2	2
142	не знает	3	2
143	далеко не	2	2
144	и это	2	2
145	как это	5	2
146	мире и	2	2
