N	2gram	Vygotskiy__4	PoTuStor
1	может быть	22	17
2	и в	33	16
3	прежде всего	2	9
4	таким образом	13	9
5	в этом	28	9
6	мы можем	5	9
7	и только	7	9
8	совершенно не	4	8
9	и его	5	8
10	и с	2	8
11	точки зрения	6	8
12	не может	10	8
13	с его	2	7
14	сказать что	13	7
15	не только	7	7
16	и это	5	6
17	и к	2	6
18	с точки	4	6
19	самом деле	12	6
20	при этом	2	6
21	конечно не	3	6
22	все эти	6	5
23	ни в	3	5
24	как бы	25	5
25	с самого	5	4
26	самого начала	5	4
27	в нем	7	4
28	но и	3	4
29	так и	3	4
30	все это	13	4
31	хотя бы	2	4
32	и все	12	4
33	так как	12	4
34	и не	13	4
35	на самом	6	4
36	как мы	4	4
37	но мы	2	4
38	и ее	2	4
39	можно сказать	2	4
40	и наконец	2	4
41	и на	5	4
42	в этой	9	4
43	с ее	3	4
44	и может	5	4
45	только в	4	4
46	его в	3	4
47	но в	2	4
48	в его	10	4
49	во время	6	3
50	на две	2	3
51	мы знаем	2	3
52	что в	21	3
53	жизни и	4	3
54	и есть	4	3
55	во всех	2	3
56	вместе с	8	3
57	сих пор	3	3
58	даже не	2	3
59	в одном	3	3
60	те же	2	3
61	и вот	6	3
62	и она	2	3
63	быть это	2	3
64	в том	21	3
65	а в	4	3
66	том что	22	3
67	и как	5	3
68	то что	44	3
69	их в	3	3
70	в основе	3	3
71	на этом	3	3
72	едва ли	2	3
73	как это	14	3
74	во всяком	3	3
75	и потому	2	3
76	до сих	3	3
77	всяком случае	3	3
78	и этот	3	2
79	ее в	4	2
80	это делает	2	2
81	один из	2	2
82	что и	3	2
83	же как	3	2
84	не будет	4	2
85	нем нет	2	2
86	в частности	4	2
87	никогда не	5	2
88	что не	4	2
89	сделать это	3	2
90	для этого	8	2
91	в них	2	2
92	если мы	12	2
93	во всей	3	2
94	с этой	4	2
95	и так	4	2
96	из этих	2	2
97	с этим	5	2
98	в жизни	4	2
99	то же	9	2
100	что оно	3	2
101	к этому	4	2
102	и других	4	2
103	сводится к	2	2
104	что он	20	2
105	мы не	5	2
106	что мы	6	2
107	у него	6	2
108	и для	3	2
109	нам кажется	2	2
110	для нас	7	2
111	меньше всего	2	2
112	как и	5	2
113	мы видим	6	2
114	какое значение	2	2
115	так же	13	2
116	мы уже	5	2
117	не на	2	2
118	знаем что	4	2
119	а на	2	2
120	он не	11	2
121	в каком	8	2
122	не можем	3	2
123	всю жизнь	2	2
124	говорить о	3	2
125	в пределах	3	2
126	было бы	12	2
127	что это	13	2
128	кажется что	2	2
129	все то	12	2
130	и мы	15	2
131	о том	20	2
132	в самом	12	2
133	в своей	4	2
134	и о	4	2
135	с ним	5	2
