N	2gram	Trubetskoy_1	Formalny
1	и не	19	30
2	и в	14	27
3	может быть	9	25
4	не может	22	24
5	таким образом	11	18
6	в этом	17	18
7	а не	2	17
8	точки зрения	11	16
9	самом деле	7	16
10	в нем	5	15
11	то же	11	15
12	на самом	6	14
13	как и	4	14
14	с точки	9	14
15	не в	4	12
16	если бы	6	12
17	и от	2	11
18	в самом	3	11
19	и т	3	11
20	место в	2	10
21	но и	10	10
22	не могут	4	10
23	лишь в	3	9
24	так как	4	9
25	не только	9	9
26	так же	2	9
27	что в	4	8
28	ни в	2	8
29	при этом	5	8
30	как бы	4	8
31	отнюдь не	7	8
32	то что	13	8
33	только в	5	8
34	в том	17	7
35	же время	10	7
36	все это	6	7
37	потому что	5	7
38	в то	10	7
39	его в	4	7
40	между тем	5	7
41	с тем	6	7
42	для них	3	7
43	совершенно не	2	7
44	в его	4	7
45	всяком случае	6	6
46	все эти	2	6
47	в своих	6	6
48	но в	2	6
49	что он	6	6
50	еще не	3	6
51	было бы	5	6
52	все же	4	6
53	в своей	5	6
54	хотя бы	5	6
55	и для	6	6
56	в данном	7	6
57	во всяком	9	6
58	вместе с	4	6
59	никогда не	5	5
60	что они	3	5
61	того чтобы	8	5
62	друг друга	3	5
63	в ней	2	5
64	в результате	2	5
65	большинстве случаев	2	5
66	но не	4	5
67	и потому	3	5
68	что же	4	5
69	сводится к	3	5
70	тем что	3	5
71	связи с	3	5
72	если же	2	5
73	то ни	4	4
74	прежде всего	8	4
75	к тому	7	4
76	да и	3	4
77	следовательно и	2	4
78	и как	3	4
79	в большинстве	3	4
80	для того	6	4
81	и является	2	4
82	бы то	4	4
83	жизни и	4	4
84	данном случае	3	4
85	со стороны	4	4
86	и те	2	4
87	о том	7	4
88	мы можем	2	4
89	между собой	5	4
90	тогда когда	4	4
91	по себе	2	4
92	бы ни	2	4
93	не есть	3	4
94	том что	9	4
95	она не	2	4
96	в корне	4	4
97	конечно не	5	4
98	только на	2	4
99	из этого	3	4
100	что это	3	3
101	в этих	2	3
102	его и	2	3
103	тому что	2	3
104	в конце	3	3
105	для нас	2	3
106	должна быть	2	3
107	того что	3	3
108	не о	2	3
109	и тем	2	3
110	по отношению	2	3
111	и что	2	3
112	и на	5	3
113	их в	2	3
114	и с	7	3
115	и более	2	3
116	жизни в	5	3
117	ясно что	2	3
118	мы уже	2	3
119	во всех	5	3
120	время в	2	3
121	ее в	2	3
122	уже не	2	3
123	в себе	9	3
124	друг другу	2	2
125	для этого	3	2
126	главным образом	3	2
127	или иной	5	2
128	всех этих	3	2
129	но это	2	2
130	в этой	4	2
131	является не	2	2
132	не можем	2	2
133	но для	2	2
134	но если	3	2
135	в котором	2	2
136	проявляется в	2	2
137	из них	3	2
138	сами эти	2	2
139	от того	4	2
140	отличается от	2	2
141	в своем	6	2
142	и только	5	2
143	отношения к	2	2
144	именно на	2	2
145	и даже	2	2
146	возможно лишь	4	2
147	принадлежат к	2	2
148	знаем что	3	2
149	из этих	3	2
150	в россии	6	2
151	конце концов	3	2
152	это учение	2	2
153	нисколько не	2	2
154	и во	3	2
155	говорить о	3	2
156	то в	3	2
157	так чтобы	3	2
158	одна из	3	2
159	от него	2	2
160	и тогда	2	2
161	мы должны	7	2
162	одной из	3	2
163	лишь к	4	2
164	таким же	3	2
165	на почве	2	2
166	что и	3	2
167	это только	2	2
168	на земле	4	2
169	россии и	3	2
170	в таком	2	2
171	если они	2	2
172	они будут	2	2
173	в области	2	2
