N	2gram	Bakhtin_fo_1	Vvedenie
1	и т	8	42
2	и в	50	32
3	в том	9	31
4	в этом	25	30
5	может быть	11	26
6	том что	4	26
7	не только	9	22
8	для того	5	21
9	того чтобы	5	20
10	таким образом	11	19
11	также и	2	18
12	то что	6	16
13	потому что	4	15
14	так как	6	15
15	не может	6	14
16	в самом	8	13
17	в нем	24	13
18	того что	2	12
19	в их	6	12
20	и не	14	12
21	в его	13	12
22	только в	4	12
23	как мы	14	11
24	ясно что	2	11
25	в ее	6	11
26	в данном	2	11
27	что в	5	10
28	но в	10	9
29	и как	10	9
30	в истории	2	9
31	по себе	2	9
32	то же	11	9
33	в той	4	9
34	с другой	2	8
35	это не	6	8
36	а только	2	8
37	не в	5	8
38	именно в	3	8
39	прежде всего	15	7
40	вопрос о	2	7
41	точки зрения	5	7
42	но не	5	7
43	было бы	2	7
44	все же	6	7
45	не могут	3	6
46	до сих	3	6
47	смысле слова	2	6
48	же время	9	6
49	один из	3	6
50	но и	8	6
51	все это	4	6
52	и даже	2	6
53	широком смысле	2	6
54	в то	9	6
55	его в	3	6
56	как он	2	6
57	с тем	3	6
58	вовсе не	13	6
59	как и	8	6
60	в качестве	3	6
61	сих пор	3	6
62	хотя бы	2	6
63	и его	16	6
64	тем что	2	6
65	и это	4	6
66	уже в	2	5
67	в широком	2	5
68	как бы	2	5
69	в целом	2	5
70	а как	3	5
71	с их	2	5
72	в которых	2	5
73	сказать что	3	5
74	в них	4	5
75	об этом	2	5
76	на почве	2	5
77	вместе с	3	5
78	т п	8	5
79	в течение	2	5
80	а не	3	5
81	что не	3	5
82	могут быть	5	5
83	времени и	10	4
84	одной стороны	2	4
85	в котором	4	4
86	здесь нет	3	4
87	этот процесс	5	4
88	по отношению	3	4
89	в особенности	9	4
90	этом отношении	3	4
91	еще и	2	4
92	с одной	3	4
93	не имеет	4	4
94	а в	3	4
95	одно из	3	4
96	как она	2	4
97	от этого	2	4
98	сравнению с	2	4
99	в разных	5	4
100	еще не	5	4
101	отношению к	5	4
102	по сравнению	2	4
103	в своей	2	4
104	как раз	13	4
105	уже не	2	4
106	и для	4	4
107	той же	2	4
108	и то	4	4
109	во всяком	3	4
110	и ее	3	4
111	в себе	3	4
112	совсем не	2	3
113	в частности	6	3
114	в этих	3	3
115	понятно что	4	3
116	вообще не	3	3
117	в конце	9	3
118	к тому	3	3
119	да и	3	3
120	в строгом	2	3
121	но все	5	3
122	до конца	4	3
123	при этом	3	3
124	хотя и	3	3
125	в ней	4	3
126	именно как	4	3
127	в виду	3	3
128	и уже	3	3
129	на этой	4	3
130	отношение к	2	3
131	до нас	5	3
132	в своем	4	3
133	все эти	9	3
134	и других	3	3
135	так же	6	3
136	и на	8	3
137	в результате	6	3
138	в начале	3	3
139	тогда когда	2	3
140	если бы	5	3
141	не как	2	3
142	к этому	3	3
143	всего того	3	3
144	стороны и	2	3
145	в различных	2	3
146	и к	2	3
147	здесь все	2	3
148	связи с	6	3
149	строгом смысле	2	3
150	в чем	2	3
151	чем в	2	3
152	одной из	3	3
153	в одном	3	3
154	в сущности	3	3
155	а также	2	3
156	как оно	2	3
157	что и	3	3
158	дело в	2	3
159	времени в	7	3
160	в центре	2	3
161	в каком	2	3
162	и вообще	2	3
163	или как	4	3
164	до наших	2	2
165	в основу	3	2
166	же как	2	2
167	и другие	5	2
168	никогда не	2	2
169	в отношении	3	2
170	само собой	2	2
171	или иной	2	2
172	нового типа	2	2
173	в дальнейшем	6	2
174	соответствии с	2	2
175	и др	9	2
176	не к	2	2
177	значение в	5	2
178	природы и	2	2
179	в форме	3	2
180	но дело	2	2
181	в связи	5	2
182	не было	7	2
183	с помощью	2	2
184	во втором	2	2
185	есть только	2	2
186	и те	3	2
187	рядом с	2	2
188	в более	2	2
189	и с	4	2
190	с этим	6	2
191	той или	2	2
192	так и	12	2
193	ни к	3	2
194	для них	3	2
195	значение и	3	2
196	есть не	3	2
197	по существу	12	2
198	в соответствии	2	2
199	время не	2	2
200	того же	8	2
201	во всех	6	2
202	что мы	2	2
203	мы должны	2	2
204	отсюда и	2	2
205	жизни и	8	2
206	мы уже	11	2
207	себе и	3	2
208	ни с	2	2
209	том же	2	2
210	в этот	2	2
211	и до	5	2
212	быть и	2	2
213	только на	3	2
214	связь между	2	2
215	входит в	3	2
216	в значительной	2	2
217	между ними	3	2
218	с точки	2	2
219	мы не	3	2
220	у них	2	2
221	время в	6	2
222	выражение в	2	2
223	здесь не	4	2
224	одна из	2	2
225	ничего не	9	2
226	того не	2	2
