N	2gram	Bakhtin_Fr_8	Stilisti
1	и в	56	42
2	как бы	11	27
3	не только	8	27
4	и т.п	11	24
5	прежде всего	6	22
6	и т.д	3	20
7	но и	9	15
8	то же	11	15
9	и не	9	14
10	может быть	3	12
11	не может	2	12
12	точки зрения	6	11
13	как и	5	11
14	мы уже	10	11
15	и как	2	10
16	как мы	7	10
17	в этом	14	10
18	при этом	4	9
19	в то	12	9
20	то что	3	9
21	для того	2	9
22	мы не	2	9
23	все же	2	8
24	в ней	4	8
25	таким образом	17	8
26	с тем	2	8
27	в себе	4	8
28	никогда не	5	7
29	же время	10	7
30	и на	7	7
31	потому что	6	7
32	так как	4	7
33	с его	5	7
34	слов и	3	7
35	было бы	2	7
36	а не	2	7
37	того чтобы	4	7
38	и его	12	7
39	только в	9	7
40	в которой	4	7
41	не в	3	6
42	в этой	6	6
43	на его	6	6
44	в форме	3	6
45	язык и	2	6
46	в нем	8	6
47	во всех	8	6
48	в процессе	5	6
49	так и	13	6
50	язык в	4	6
51	речи и	3	6
52	в области	5	6
53	уже в	2	5
54	в нашем	2	5
55	мы видели	5	5
56	и их	8	5
57	с помощью	3	5
58	а в	2	5
59	и с	8	5
60	и наконец	3	5
61	точек зрения	2	5
62	в его	18	5
63	вместе с	2	5
64	в той	6	5
65	с точки	2	5
66	той же	6	5
67	слова и	3	5
68	что это	4	4
69	не просто	3	4
70	того времени	4	4
71	можно сказать	2	4
72	связаны с	6	4
73	в качестве	4	4
74	в самом	9	4
75	той или	2	4
76	точка зрения	2	4
77	один из	5	4
78	все это	8	4
79	языка и	6	4
80	так же	2	4
81	о том	4	4
82	его в	2	4
83	бы в	3	4
84	но в	6	4
85	если бы	2	4
86	и к	4	4
87	мы видим	6	4
88	уже не	3	4
89	самом деле	2	4
90	в слове	2	4
91	и то	2	4
92	то есть	24	4
93	так сказать	5	4
94	перед нами	3	3
95	это не	2	3
96	главным образом	3	3
97	здесь мы	3	3
98	в потоке	2	3
99	и эта	2	3
100	не мог	3	3
101	хотя и	2	3
102	в котором	2	3
103	из них	2	3
104	мертвых душ	6	3
105	и даже	8	3
106	ведь в	3	3
107	их в	4	3
108	сказать что	3	3
109	и здесь	3	3
110	видели что	3	3
111	и все	6	3
112	в одном	2	3
113	в ее	6	3
114	том что	8	3
115	еще не	10	3
116	конечно не	4	3
117	что и	3	3
118	только на	2	3
119	на самом	2	3
120	между ними	2	3
121	и для	2	3
122	роль в	5	3
123	связи с	6	3
124	бы и	2	2
125	в частности	7	2
126	друг другу	2	2
127	связанный с	2	2
128	человека и	2	2
129	в мире	2	2
130	в том	13	2
131	и конечно	2	2
132	но это	2	2
133	времени и	4	2
134	для него	2	2
135	до конца	11	2
136	в пределах	5	2
137	и сам	2	2
138	несмотря на	2	2
139	события и	2	2
140	себе и	2	2
141	в этих	11	2
142	в первой	3	2
143	о них	2	2
144	целый ряд	2	2
145	как например	3	2
146	в связи	3	2
147	в отношении	5	2
148	не было	5	2
149	еще и	3	2
150	все эти	15	2
151	и те	2	2
152	в которых	2	2
153	в своих	4	2
154	также и	2	2
155	был и	2	2
156	по своей	4	2
157	что эти	2	2
158	к которому	3	2
159	в основе	4	2
160	к этому	2	2
161	с собой	2	2
162	значение и	2	2
163	что он	2	2
164	видим что	2	2
165	и несколько	4	2
166	и при	2	2
167	но не	5	2
168	по своему	8	2
169	а на	2	2
170	одной из	3	2
171	и потому	4	2
172	они еще	3	2
173	зрения на	2	2
174	в своей	2	2
175	сих пор	8	2
176	связь с	3	2
177	мы найдем	2	2
178	в значительной	2	2
179	из которых	2	2
180	к нему	2	2
181	с ним	2	2
182	в каком	2	2
