N	2gram	Losev_Dial_2	formyVre
1	и в	19	46
2	в этом	8	22
3	прежде всего	8	14
4	и т	17	14
5	вовсе не	13	13
6	и его	5	12
7	только в	5	11
8	не только	19	11
9	во всех	2	11
10	т п	2	11
11	во время	2	10
12	в том	14	10
13	как бы	14	10
14	точки зрения	12	10
15	но в	2	10
16	не в	8	9
17	мы уже	8	9
18	вместе с	2	9
19	но и	12	9
20	и не	30	9
21	в связи	4	8
22	связи с	4	8
23	как и	10	8
24	жизни и	6	8
25	то же	12	8
26	с точки	8	8
27	потому что	14	8
28	из них	3	8
29	вещей и	3	7
30	всех этих	3	7
31	в одном	4	7
32	может быть	20	7
33	то что	14	7
34	так и	10	7
35	времени в	2	7
36	никогда не	9	6
37	и времени	5	6
38	и все	12	6
39	при этом	4	6
40	как мы	3	6
41	еще не	4	6
42	его в	3	6
43	все же	4	6
44	все это	4	6
45	так как	14	6
46	и с	5	6
47	в частности	2	5
48	в своем	4	5
49	с этим	3	5
50	в то	6	5
51	но не	6	5
52	он не	4	5
53	в нем	10	5
54	что в	7	5
55	в античном	2	5
56	все эти	2	5
57	в смысле	5	5
58	должно быть	7	5
59	тела и	5	5
60	уже в	4	4
61	отнюдь не	6	4
62	человека и	2	4
63	же время	5	4
64	с ним	4	4
65	же в	2	4
66	том что	10	4
67	так что	7	4
68	что они	6	4
69	есть и	6	4
70	в мире	2	4
71	и их	3	4
72	конечно не	6	4
73	как в	2	4
74	человеческой жизни	2	4
75	а не	16	4
76	также и	2	4
77	их в	2	4
78	в себе	15	4
79	в истории	2	4
80	о том	5	4
81	все его	3	4
82	не было	3	3
83	о чем	3	3
84	та же	4	3
85	к тому	2	3
86	что он	6	3
87	и как	10	3
88	это значит	8	3
89	и идеи	2	3
90	кроме того	3	3
91	том как	2	3
92	в это	3	3
93	что на	2	3
94	что и	5	3
95	ее в	2	3
96	во времени	4	3
97	т д	15	3
98	не на	2	3
99	таким образом	4	3
100	и они	2	3
101	в их	2	3
102	уже не	3	3
103	того что	6	3
104	и даже	14	3
105	и по	4	3
106	и прежде	2	3
107	а в	4	3
108	жизнь и	5	3
109	и совершенно	2	3
110	тем что	2	3
111	в другом	4	3
112	же самое	2	3
113	в этих	3	3
114	в виду	5	3
115	на этом	2	2
116	и более	3	2
117	по своему	5	2
118	и есть	4	2
119	и та	6	2
120	смысла и	2	2
121	а потом	4	2
122	говорить о	5	2
123	в вечности	6	2
124	с другой	5	2
125	это не	10	2
126	в одной	4	2
127	вещи и	3	2
128	по себе	18	2
129	не быть	2	2
130	одна и	4	2
131	можно сказать	5	2
132	все в	2	2
133	без всякого	4	2
134	именно в	2	2
135	мы видим	2	2
136	и вечное	2	2
137	в этой	3	2
138	с тем	2	2
139	во все	2	2
140	и пр	5	2
141	она не	8	2
142	было бы	3	2
143	и к	7	2
144	в сущности	2	2
145	далее в	2	2
146	и потому	5	2
147	явлений и	2	2
148	если в	2	2
149	сих пор	2	2
150	после этого	3	2
151	в некоторых	2	2
152	быть и	4	2
153	жизни с	2	2
154	не может	9	2
155	и только	4	2
156	с одной	2	2
157	и вот	4	2
158	в той	3	2
159	тем же	2	2
160	так же	2	2
161	сами по	3	2
162	в данном	3	2
163	но это	7	2
164	от этого	3	2
165	и от	3	2
166	мы имеем	3	2
167	могут быть	4	2
168	но он	4	2
169	и почти	3	2
170	что здесь	2	2
171	в поэзии	7	2
172	в конце	2	2
173	как он	4	2
174	и это	5	2
175	пространства и	7	2
176	как это	7	2
177	и должно	2	2
178	во всяком	2	2
179	мире и	2	2
180	значит что	12	2
181	до сих	2	2
