N	2gram	Ircho_Kome_2	VrazhdaK
1	не только	7	9
2	в этом	10	8
3	и что	2	8
4	и в	26	8
5	но и	10	7
6	что в	9	7
7	то что	6	7
8	и все	2	7
9	в котором	3	6
10	в нем	6	6
11	все же	4	6
12	как и	4	6
13	в начале	4	6
14	но в	3	6
15	и с	5	6
16	то же	3	5
17	не было	3	5
18	и не	14	5
19	у него	4	5
20	об этом	2	5
21	между тем	4	5
22	в то	6	5
23	же время	3	5
24	уже в	4	4
25	для нас	3	4
26	как бы	2	4
27	все это	3	4
28	целый ряд	2	4
29	это не	2	4
30	что он	5	4
31	х годов	2	4
32	может быть	11	4
33	в истории	5	4
34	о том	6	4
35	в ней	3	4
36	в виду	2	4
37	речь идет	3	3
38	с его	5	3
39	связи с	3	3
40	в своем	6	3
41	что у	4	3
42	и во	2	3
43	в связи	3	3
44	в конце	2	3
45	к этому	5	3
46	человека в	3	3
47	и у	2	3
48	он был	2	3
49	в том	11	3
50	и его	12	3
51	том что	9	3
52	тем что	3	3
53	в его	4	3
54	его в	4	3
55	наряду с	6	3
56	одним из	2	3
57	он не	2	3
58	место в	4	2
59	после смерти	3	2
60	в своей	3	2
61	и это	2	2
62	после этого	2	2
63	из них	7	2
64	не менее	4	2
65	вместе с	9	2
66	отнюдь не	2	2
67	в них	4	2
68	столь же	9	2
69	так в	2	2
70	не может	3	2
71	а в	3	2
72	таким образом	6	2
73	рядом с	2	2
74	в период	3	2
75	в в	4	2
76	в той	2	2
77	с которым	2	2
78	же не	2	2
79	мы знаем	3	2
80	же в	4	2
81	в глазах	2	2
82	в этой	3	2
83	точки зрения	4	2
84	и ее	2	2
85	отношение к	2	2
86	еще не	6	2
87	во время	6	2
88	в это	2	2
89	о чем	3	2
90	на это	2	2
91	в мире	2	2
92	ответ на	3	2
93	одна из	2	2
94	б и	4	2
