N	2gram	Bakhtin_Fr_1	Komedia
1	и в	65	26
2	и не	22	14
3	к тому	2	12
4	так и	10	12
5	и его	10	12
6	в том	16	11
7	может быть	6	11
8	но и	10	10
9	на протяжении	5	10
10	в этом	15	10
11	что в	3	9
12	том что	6	9
13	и на	11	7
14	из них	4	7
15	не только	10	7
16	в своем	8	6
17	во время	4	6
18	то что	3	6
19	еще не	6	6
20	наряду с	2	6
21	в нем	13	6
22	потому что	5	6
23	и здесь	3	6
24	о том	2	6
25	с его	5	5
26	что он	3	5
27	а затем	2	5
28	и с	3	5
29	в частности	5	4
30	в этих	2	4
31	в них	5	4
32	и от	2	4
33	прежде всего	11	4
34	из этих	2	4
35	как мы	6	4
36	же в	2	4
37	как и	5	4
38	в целом	2	4
39	с их	5	4
40	хотя и	2	4
41	в его	9	4
42	мира в	3	4
43	все же	6	4
44	в самом	4	4
45	до нас	3	4
46	и для	2	4
47	точки зрения	7	4
48	в наиболее	2	4
49	только в	7	4
50	так как	6	4
51	на этот	2	4
52	его в	7	4
53	между тем	5	4
54	это было	2	4
55	том числе	10	3
56	в тех	3	3
57	мы найдем	2	3
58	жизни и	7	3
59	но все	3	3
60	связи с	4	3
61	но не	2	3
62	во всех	9	3
63	здесь в	8	3
64	для нас	4	3
65	например в	2	3
66	интерес к	2	3
67	да и	2	3
68	в ней	6	3
69	и особенно	2	3
70	многие из	2	3
71	в своей	5	3
72	и их	3	3
73	в их	4	3
74	все это	9	3
75	как в	5	3
76	в самой	3	3
77	к нему	3	3
78	друг друга	3	3
79	или в	2	3
80	не может	3	3
81	это время	2	3
82	в этой	4	3
83	но в	14	3
84	и другие	8	2
85	с другой	3	2
86	не для	2	2
87	это не	3	2
88	представления о	2	2
89	нового времени	13	2
90	в одном	5	2
91	в духе	8	2
92	вовсе не	18	2
93	нет и	2	2
94	в народном	2	2
95	и к	4	2
96	он был	2	2
97	в ее	3	2
98	не в	4	2
99	до сих	4	2
100	по своему	8	2
101	одной стороны	2	2
102	в это	2	2
103	одним из	2	2
104	от того	2	2
105	он не	2	2
106	как бы	22	2
107	не вполне	2	2
108	даже в	3	2
109	не является	3	2
110	и это	2	2
111	отношение к	4	2
112	сих пор	4	2
113	в изображении	2	2
114	в отличие	4	2
115	с одной	2	2
116	еще более	5	2
117	в той	5	2
118	от всех	3	2
119	и у	6	2
120	в других	3	2
121	рядом с	5	2
122	отличие от	5	2
123	роль в	2	2
124	и во	3	2
125	одно из	6	2
126	и еще	4	2
127	на что	2	2
128	второй половины	3	2
129	и вовсе	3	2
130	и все	5	2
131	у других	2	2
132	дошедших до	2	2
133	в виду	3	2
