N	3gram	Voloshinov_1	EvropaiC
1	в том что	3	16
2	до сих пор	8	12
3	по отношению к	2	10
4	с точки зрения	20	8
5	для того чтобы	3	6
6	в самом деле	9	5
7	не может быть	13	4
8	может быть и	3	4
9	тем не менее	2	4
10	в конце концов	3	4
11	с другой стороны	5	4
12	в этом случае	3	4
13	и того же	5	3
14	так же как	2	3
15	одного и того	5	3
16	в связи с	7	3
17	в настоящее время	6	3
18	в то же	3	2
19	в свою очередь	2	2
20	между этими двумя	2	2
21	то же время	3	2
22	то ни было	8	2
23	бы то ни	8	2
24	во всяком случае	2	2
25	как и все	2	2
26	но все же	3	2
27	ничего общего с	2	2
