N	2gram	Propp_Russ_2	formyVre
1	и в	29	50
2	в этом	11	25
3	прежде всего	2	15
4	как мы	3	14
5	по существу	4	12
6	может быть	13	11
7	таким образом	6	11
8	то же	4	11
9	и как	2	10
10	но в	5	10
11	в том	22	9
12	все эти	3	9
13	в других	15	9
14	в то	2	9
15	не только	10	9
16	и т	5	8
17	но и	8	8
18	и на	6	8
19	жизни в	2	8
20	как и	11	8
21	не было	2	7
22	это время	2	7
23	все же	2	6
24	это не	5	6
25	в их	2	6
26	не может	5	6
27	так же	4	6
28	так как	13	6
29	с этим	2	6
30	и все	4	6
31	связи с	2	6
32	во всех	3	6
33	то что	5	6
34	в ее	3	6
35	как в	7	6
36	что в	22	5
37	и другие	14	5
38	в образе	2	5
39	не в	4	5
40	но не	5	5
41	еще не	6	5
42	того чтобы	6	5
43	для того	6	5
44	могут быть	2	5
45	чтобы они	2	4
46	кроме того	2	4
47	до конца	3	4
48	в котором	3	4
49	все это	10	4
50	влияние на	2	4
51	не имеет	3	4
52	потому что	5	4
53	и с	10	4
54	между собой	2	4
55	в них	4	4
56	то время	2	4
57	жизнь и	2	4
58	том что	22	4
59	и для	2	4
60	и то	2	4
61	в этих	3	3
62	связаны с	3	3
63	с тем	6	3
64	при этом	6	3
65	в виду	2	3
66	один из	2	3
67	в форме	2	3
68	с одной	2	3
69	именно в	4	3
70	и других	3	3
71	друг друга	3	3
72	а в	9	3
73	их в	4	3
74	одно из	2	3
75	его в	8	3
76	для них	2	3
77	к этому	5	3
78	же в	6	3
79	в качестве	3	3
80	что и	2	3
81	вместе с	6	3
82	а не	4	3
83	мы не	6	3
84	в таком	4	3
85	или в	7	3
86	с другими	3	3
87	быть только	2	3
88	и ее	2	3
89	совсем не	2	2
90	же как	4	2
91	никогда не	2	2
92	в течение	2	2
93	с другой	2	2
94	вопрос о	4	2
95	для нас	6	2
96	есть в	2	2
97	в глаза	2	2
98	одной стороны	2	2
99	к жизни	5	2
100	не к	2	2
101	в некоторых	9	2
102	природы и	2	2
103	на них	4	2
104	того что	3	2
105	и по	3	2
106	в которых	4	2
107	но он	3	2
108	и еще	2	2
109	во всем	2	2
110	все то	2	2
111	в дом	8	2
112	из нее	2	2
113	в стороне	2	2
114	тогда когда	4	2
115	другой день	2	2
116	об этом	2	2
117	одна из	11	2
118	чем в	2	2
119	на другой	2	2
120	здесь в	2	2
121	было бы	3	2
122	в человеческую	3	2
123	том же	4	2
124	к ней	2	2
125	иной характер	2	2
126	а также	4	2
127	в этот	10	2
128	но она	2	2
129	в честь	3	2
130	в своей	2	2
131	как бы	18	2
132	ее в	8	2
133	совершенно не	2	2
134	в отличие	3	2
135	связь между	2	2
136	уже не	4	2
137	в которой	2	2
138	у них	2	2
139	в данном	6	2
140	тем что	3	2
141	на себя	2	2
142	далеко не	4	2
143	как оно	2	2
144	там где	2	2
145	по всем	3	2
146	характер в	2	2
147	отличие от	3	2
