N	2gram	Savitsky_E_1	Literetu
1	а не	2	20
2	и в	37	19
3	может быть	6	17
4	то же	15	12
5	и не	14	11
6	в том	11	10
7	как и	7	10
8	но и	14	10
9	же время	14	9
10	не может	9	9
11	в мире	2	9
12	в этом	12	9
13	в то	16	9
14	с другой	7	8
15	не только	18	8
16	и даже	6	8
17	том что	6	7
18	то что	6	7
19	так и	10	7
20	с одной	8	7
21	в себе	9	6
22	одной стороны	8	6
23	и на	6	6
24	столь же	5	5
25	но не	5	5
26	в качестве	14	5
27	он не	2	5
28	вместе с	2	5
29	того что	7	5
30	то есть	6	5
31	что в	21	4
32	в частности	5	4
33	жизни в	3	4
34	в сфере	3	4
35	прежде всего	9	4
36	не в	5	4
37	отнюдь не	9	4
38	того же	3	4
39	в ней	4	4
40	в его	2	4
41	даже в	4	4
42	жизни и	2	4
43	и других	2	4
44	другой стороны	2	4
45	мы не	4	4
46	тем что	3	4
47	точки зрения	23	4
48	в области	11	4
49	никогда не	3	3
50	идет о	3	3
51	и как	2	3
52	такой же	2	3
53	в этой	2	3
54	во всех	6	3
55	в культуре	3	3
56	данном случае	2	3
57	со стороны	5	3
58	а именно	2	3
59	в их	11	3
60	и для	3	3
61	этом отношении	3	3
62	так как	7	3
63	но с	2	3
64	всего лишь	3	3
65	тем самым	5	3
66	с точки	17	3
67	как на	3	3
68	а в	2	3
69	и то	2	3
70	и с	2	3
71	в данном	3	3
72	ни было	4	2
73	же как	5	2
74	с тем	3	2
75	не является	3	2
76	в них	3	2
77	в какой	2	2
78	с этой	6	2
79	в одном	2	2
80	поскольку речь	2	2
81	вовсе не	6	2
82	из того	2	2
83	и к	3	2
84	а также	7	2
85	для нас	4	2
86	в ее	8	2
87	очевидно что	3	2
88	ко всему	2	2
89	было бы	8	2
90	одной из	5	2
91	как бы	6	2
92	если в	2	2
93	себе не	3	2
94	говоря уже	2	2
95	что и	3	2
96	же в	2	2
97	не к	2	2
98	из них	3	2
99	могут быть	2	2
100	по преимуществу	2	2
101	в истории	2	2
102	не говоря	2	2
103	наш путь	2	2
104	и только	3	2
105	и что	2	2
106	не более	3	2
107	для того	6	2
108	и наконец	2	2
109	и выше	7	2
110	хотя бы	15	2
111	в своих	2	2
112	то в	4	2
113	в результате	3	2
114	потому что	3	2
115	на себя	3	2
116	и еще	2	2
117	но как	2	2
118	культуры как	2	2
119	о том	3	2
120	в россии	5	2
121	представляет собой	3	2
122	как это	4	2
123	но в	14	2
124	одном из	2	2
125	мира в	4	2
