N	2gram	Vygotskiy__7	RusskieA
1	и в	26	29
2	что в	12	22
3	том что	17	22
4	в том	18	22
5	как бы	6	18
6	состоит в	3	15
7	может быть	7	13
8	так как	14	13
9	во время	2	12
10	как и	15	11
11	в этом	29	11
12	все это	3	10
13	в этот	3	10
14	и с	5	10
15	не только	24	10
16	о том	4	9
17	а в	2	9
18	показывает что	2	8
19	но и	11	8
20	ее в	8	8
21	его в	2	8
22	мы видели	3	7
23	данном случае	5	7
24	как в	4	7
25	или в	2	7
26	с тем	5	6
27	мы не	7	6
28	этом случае	14	6
29	еще не	4	6
30	для того	18	6
31	для нас	2	6
32	вместе с	12	6
33	таким образом	23	6
34	того чтобы	19	6
35	в данном	5	6
36	представление о	7	5
37	потому что	16	5
38	это не	3	5
39	к этому	2	5
40	то что	24	5
41	и что	6	5
42	но не	3	5
43	с ней	2	5
44	для этого	3	5
45	не может	11	5
46	но в	4	5
47	именно в	6	4
48	о чем	4	4
49	тогда когда	5	4
50	вопрос о	6	4
51	а затем	2	4
52	так что	4	4
53	не в	4	4
54	к нему	3	4
55	же как	8	4
56	том же	2	4
57	так же	14	4
58	то и	4	4
59	то же	8	4
60	у нас	2	4
61	а не	6	4
62	в которых	2	4
63	как это	5	4
64	что по	2	4
65	тем что	9	3
66	в этих	2	3
67	в качестве	5	3
68	и других	2	3
69	и от	4	3
70	должно было	2	3
71	в ее	6	3
72	она не	5	3
73	до конца	5	3
74	и другой	3	3
75	того что	14	3
76	было бы	6	3
77	и о	3	3
78	нас к	6	3
79	что ее	2	3
80	что она	8	3
81	но если	2	3
82	в котором	4	3
83	с другими	3	3
84	не имеет	2	3
85	во всех	6	3
86	в свете	4	3
87	в отличие	2	3
88	что для	2	3
89	все эти	6	3
90	и по	3	3
91	друг друга	4	3
92	как мы	14	3
93	но он	2	3
94	в этой	3	3
95	что это	6	3
96	отличие от	2	3
97	не менее	4	2
98	с этой	5	2
99	связь между	6	2
100	связи с	4	2
101	об этом	3	2
102	могут быть	2	2
103	никогда не	4	2
104	по этому	4	2
105	между собой	6	2
106	с другой	4	2
107	из этих	3	2
108	прежде всего	7	2
109	что и	3	2
110	к ней	2	2
111	что с	5	2
112	в новой	3	2
113	это и	4	2
114	приводит нас	3	2
115	одним из	2	2
116	и при	2	2
117	вывод что	2	2
118	чем в	4	2
119	очевидно что	3	2
120	то время	2	2
121	из основных	2	2
122	одной стороны	5	2
123	для объяснения	2	2
124	совершенно не	2	2
125	что на	2	2
126	тем не	3	2
127	из этого	2	2
128	в виду	5	2
129	один из	2	2
130	все же	6	2
131	в своей	3	2
132	этом и	2	2
133	ее от	2	2
134	что при	2	2
135	в их	2	2
136	где они	2	2
137	этому поводу	3	2
138	того как	2	2
139	должны были	2	2
140	с одной	5	2
141	на самом	3	2
142	образом в	2	2
143	эта связь	2	2
144	обе стороны	2	2
145	из которых	2	2
146	и для	5	2
147	должно быть	2	2
148	можно было	2	2
149	в своих	2	2
150	и то	7	2
151	в момент	4	2
152	с другим	2	2
153	одно из	5	2
154	с этим	2	2
155	моментов в	2	2
156	и ее	2	2
157	во всем	3	2
158	в то	3	2
159	представляет собой	19	2
160	в которой	11	2
161	есть в	3	2
162	не можем	4	2
