N	2gram	Vinokur_Vv_1	Morfolog
1	может быть	24	52
2	и т	43	49
3	т д	37	47
4	таким образом	19	20
5	представляет собой	12	17
6	не может	13	17
7	т е	38	16
8	в этих	3	16
9	могут быть	4	15
10	с этим	2	14
11	этих случаях	2	14
12	и в	27	13
13	в этом	34	13
14	и др	2	12
15	так как	13	12
16	связи с	3	11
17	представляют собой	6	10
18	прежде всего	8	9
19	этом случае	6	9
20	в связи	2	9
21	то же	8	9
22	и не	13	9
23	а не	3	9
24	мы имеем	3	9
25	с другой	8	8
26	по существу	2	8
27	что и	3	8
28	при помощи	2	8
29	в результате	3	8
30	вопрос о	8	7
31	в тех	2	7
32	в качестве	7	7
33	но если	3	7
34	все же	8	7
35	или же	3	7
36	это не	8	6
37	не могут	5	6
38	в том	31	6
39	но не	7	6
40	а также	3	6
41	в форме	2	6
42	а в	5	6
43	не менее	8	5
44	наряду с	2	5
45	во всех	2	5
46	как бы	5	5
47	один из	6	5
48	то что	17	5
49	потому что	14	5
50	мы не	2	5
51	что в	11	4
52	и как	9	4
53	на котором	2	4
54	раньше чем	3	4
55	вовсе не	6	4
56	об этом	5	4
57	тем не	8	4
58	отношению к	4	4
59	было бы	5	4
60	несмотря на	2	4
61	ни одна	2	4
62	не только	21	4
63	то это	3	4
64	как мы	9	4
65	другой стороны	5	4
66	так же	3	4
67	по отношению	4	4
68	как и	5	4
69	д но	5	4
70	хотя и	3	4
71	тем что	6	4
72	точки зрения	7	4
73	с точки	2	4
74	на этом	3	4
75	также и	16	4
76	его в	6	4
77	а если	2	4
78	ничего не	2	4
79	только что	4	3
80	связана с	4	3
81	независимо от	3	3
82	если бы	2	3
83	в начале	3	3
84	в какой	4	3
85	том что	26	3
86	но все	3	3
87	в целом	5	3
88	того чтобы	21	3
89	в сущности	3	3
90	во втором	2	3
91	в первом	5	3
92	но и	5	3
93	от того	3	3
94	входит в	2	3
95	самом деле	6	3
96	из которых	2	3
97	первом случае	2	3
98	к нему	2	3
99	и для	4	3
100	мы можем	2	3
101	из них	3	3
102	в руки	6	3
103	и ее	4	3
104	в то	5	3
105	быть названо	4	3
106	если же	2	3
107	но в	10	3
108	ни к	2	2
109	совсем не	3	2
110	с тем	6	2
111	в виде	4	2
112	в частности	3	2
113	однако в	3	2
114	хотя бы	5	2
115	точно так	2	2
116	этого не	2	2
117	состоит в	2	2
118	приходим к	3	2
119	к этому	3	2
120	как уже	2	2
121	что он	4	2
122	в различных	2	2
123	в собственном	2	2
124	можно сказать	3	2
125	так например	6	2
126	в в	3	2
127	не с	2	2
128	из его	2	2
129	и при	2	2
130	только в	13	2
131	есть и	4	2
132	смысле слова	7	2
133	одной стороны	4	2
134	одной из	3	2
135	с теми	2	2
136	в обоих	2	2
137	из двух	2	2
138	не существует	2	2
139	себя в	2	2
140	от других	2	2
141	быть и	2	2
142	собственном смысле	2	2
143	д в	2	2
144	и тогда	3	2
145	как например	5	2
146	с одной	4	2
147	все эти	3	2
148	и наоборот	2	2
149	и что	4	2
150	того что	12	2
151	для того	21	2
152	что такое	10	2
153	уже не	5	2
154	не имеет	4	2
155	и его	5	2
156	по их	2	2
157	можно было	7	2
158	этот вопрос	4	2
159	в другом	3	2
160	что мы	2	2
161	о том	15	2
162	в свое	2	2
163	ясно что	9	2
164	здесь не	2	2
165	одна из	2	2
166	сказать что	5	2
167	как это	5	2
168	д все	2	2
