N	3gram	Bakhtin_sl_1	Problemy
1	с точки зрения	8	9
2	в большинстве случаев	6	8
3	до сих пор	2	8
4	и не может	2	7
5	то же время	12	5
6	к чужому слову	4	5
7	в то же	12	5
8	друг с другом	2	5
9	более или менее	3	3
10	как мы сказали	4	3
11	с другой стороны	4	3
12	с чужим словом	8	3
13	чужим словом в	3	3
14	мы уже сказали	2	2
15	той или иной	9	2
16	в узком смысле	10	2
17	в самом предмете	3	2
18	можно было бы	2	2
19	но в то	4	2
20	ту же тему	2	2
21	большей или меньшей	4	2
22	или меньшей степени	3	2
23	во всех его	7	2
24	как мы уже	2	2
25	и в сущности	2	2
26	в большей или	3	2
27	в отношении к	6	2
28	о том же	2	2
