N	2gram	Bakhtin_fo_1	Psycholo
1	то что	6	44
2	и в	50	33
3	в этом	25	28
4	как бы	2	25
5	потому что	4	24
6	для того	5	23
7	может быть	11	22
8	том что	4	22
9	того чтобы	5	22
10	что в	5	21
11	в том	9	21
12	таким образом	11	13
13	и не	14	13
14	так же	6	13
15	сказать что	3	13
16	то есть	33	13
17	все это	4	13
18	к тому	3	12
19	в самом	8	12
20	все то	2	12
21	и все	6	12
22	так как	6	12
23	было бы	2	12
24	если мы	2	12
25	что все	2	11
26	он не	5	11
27	не может	6	10
28	в его	13	10
29	как она	2	10
30	если бы	5	10
31	в трагедии	2	10
32	по себе	2	9
33	как раз	13	9
34	то же	11	9
35	в конце	9	8
36	в каком	2	8
37	вместе с	3	8
38	в своем	4	7
39	для нас	2	7
40	до конца	4	7
41	в нем	24	7
42	раз в	4	7
43	не только	9	7
44	это не	6	6
45	в самой	2	6
46	в ней	4	6
47	и т	8	6
48	все эти	9	6
49	но он	2	6
50	точки зрения	5	6
51	что мы	2	6
52	у него	6	6
53	мы видим	3	6
54	мы должны	2	6
55	в сущности	3	6
56	а не	3	6
57	в себе	3	6
58	самого начала	2	5
59	мы будем	2	5
60	никогда не	2	5
61	с самого	2	5
62	и как	10	5
63	в целом	2	5
64	мы не	3	5
65	и на	8	5
66	вовсе не	13	5
67	как он	2	5
68	с ним	2	5
69	ясно что	2	5
70	с этим	6	5
71	как и	8	5
72	и может	2	5
73	мы уже	11	5
74	и его	16	5
75	все же	6	5
76	и это	4	5
77	в частности	6	4
78	совершенно не	2	4
79	и уже	3	4
80	жизни и	8	4
81	а в	3	4
82	и других	3	4
83	того что	2	4
84	в порядке	3	4
85	с тем	3	4
86	в жизни	6	4
87	к этому	3	4
88	об этом	2	4
89	одна из	2	4
90	никто не	2	4
91	в своей	2	4
92	ее в	2	4
93	как мы	14	4
94	что не	3	4
95	с точки	2	4
96	той же	2	4
97	в таком	3	4
98	жизнь и	4	4
99	только в	4	4
100	слова и	2	4
101	в которой	2	4
102	в основу	3	3
103	же как	2	3
104	с одной	3	3
105	это то	2	3
106	ни в	8	3
107	тому же	2	3
108	в пределах	5	3
109	одной стороны	2	3
110	например в	6	3
111	был бы	3	3
112	с ее	6	3
113	но и	8	3
114	и до	5	3
115	конечно не	4	3
116	понятно что	4	3
117	не было	7	3
118	не для	2	3
119	в которых	2	3
120	их в	3	3
121	в то	9	3
122	во все	2	3
123	его в	3	3
124	в основе	5	3
125	всех этих	5	3
126	из нее	2	3
127	в одном	3	3
128	но не	5	3
129	к своей	2	3
130	здесь в	2	3
131	до сих	3	3
132	что и	3	3
133	сих пор	3	3
134	так и	12	3
135	как в	6	3
136	да и	3	3
137	во всей	3	3
138	и для	4	3
139	во всяком	3	3
140	от этого	2	3
141	тем что	2	3
142	событий и	3	3
143	т п	8	3
144	далеко не	2	3
145	в той	4	3
146	место в	2	2
147	уже в	2	2
148	его и	2	2
149	с другой	2	2
150	была бы	2	2
151	прежде всего	15	2
152	вопрос о	2	2
153	но все	5	2
154	времени и	10	2
155	же время	9	2
156	при этом	3	2
157	себе и	3	2
158	и дает	3	2
159	и является	2	2
160	в виду	3	2
161	в котором	4	2
162	не является	2	2
163	один из	3	2
164	в их	6	2
165	именно в	3	2
166	те же	2	2
167	не имеет	4	2
168	есть только	2	2
169	время как	5	2
170	в результате	6	2
171	и с	4	2
172	одно из	3	2
173	именно как	4	2
174	во всем	2	2
175	также и	2	2
176	не в	5	2
177	и потому	3	2
178	нигде в	2	2
179	но в	10	2
180	а как	3	2
181	с его	9	2
182	в них	4	2
183	это время	7	2
184	и к	2	2
185	в ее	6	2
186	по существу	12	2
187	сюжета и	2	2
188	в это	2	2
189	во всех	6	2
190	точном смысле	2	2
191	нем нет	2	2
192	принадлежит к	2	2
193	несколько дней	2	2
194	даже не	2	2
195	оказывается что	2	2
196	то время	4	2
197	и эта	2	2
198	хотя бы	2	2
199	и то	4	2
200	между двумя	6	2
201	и ее	3	2
202	связи с	6	2
203	героя и	7	2
204	ничего не	9	2
205	того не	2	2
