N	2gram	Medvedev_F_1	Sovremen
1	не может	16	17
2	точки зрения	16	12
3	может быть	14	12
4	таким образом	13	11
5	мы не	3	9
6	в каждом	3	8
7	не можем	2	7
8	в этом	15	7
9	и в	24	7
10	и не	20	6
11	как и	11	6
12	в результате	2	6
13	ничего не	2	6
14	прежде всего	22	5
15	все эти	6	5
16	и наконец	3	5
17	с точки	13	5
18	как бы	6	4
19	нет и	2	4
20	мы видели	2	4
21	если мы	2	4
22	в целом	6	4
23	жизни и	7	4
24	вместе с	2	4
25	в зависимости	2	4
26	это не	2	4
27	а в	6	4
28	вопрос о	2	4
29	не только	7	4
30	с помощью	3	4
31	каждого элемента	2	4
32	в том	6	4
33	зависимости от	3	4
34	в системе	2	3
35	все же	3	3
36	отнюдь не	6	3
37	при таком	4	3
38	все это	9	3
39	отличается от	3	3
40	то же	10	3
41	ясно что	3	3
42	в нем	14	3
43	а не	10	3
44	и к	4	3
45	у нас	5	3
46	не в	8	3
47	в этой	6	3
48	одна из	2	3
49	еще не	6	3
50	он в	2	3
51	при этом	5	3
52	было бы	6	3
53	в одном	2	3
54	и все	6	3
55	в себе	3	3
56	в области	3	3
57	но в	5	3
58	и потому	9	3
59	так сказать	3	2
60	в настоящее	10	2
61	каждого из	2	2
62	не менее	11	2
63	на их	2	2
64	значение в	3	2
65	быть и	4	2
66	в нашем	2	2
67	приводит к	2	2
68	представлять себе	3	2
69	или же	3	2
70	с одной	4	2
71	как мы	5	2
72	уже не	2	2
73	в свою	8	2
74	самом деле	6	2
75	и что	2	2
76	и пр	17	2
77	что такое	2	2
78	и даже	3	2
79	он должен	3	2
80	то ни	3	2
81	но все	2	2
82	тот или	2	2
83	во всяком	4	2
84	свою очередь	6	2
85	в живом	6	2
86	с этим	2	2
87	что в	4	2
88	не дает	2	2
89	настоящее время	10	2
90	со всеми	3	2
91	если же	2	2
92	на его	2	2
93	в самом	5	2
94	в которой	4	2
95	в науке	2	2
96	в его	23	2
97	всяком случае	4	2
