N	3gram	Tiupa_Vved_1	Narrotol
1	в данном случае	6	8
2	не только в	2	6
3	в том что	3	5
4	к тому же	4	5
5	то же время	3	4
6	той или иной	2	4
7	и тем самым	2	4
8	в соответствии с	6	4
9	не может быть	3	4
10	в то же	4	4
11	свидетель и судия	2	3
12	кадры ментального видения	2	3
13	по большей части	3	3
14	в этом отношении	4	3
15	подобно тому как	2	3
16	по отношению к	7	3
17	начало и конец	2	3
18	тем не менее	3	3
19	свидетеля и судии	3	2
20	дистанция между двумя	2	2
21	своего и чужого	2	2
22	между двумя или	2	2
23	действующее лицо события	2	2
24	и все же	4	2
25	в отличие от	2	2
26	и чужого слова	2	2
27	в маркированном положении	3	2
28	события свидетель и	2	2
29	состоит в том	2	2
30	языковой картины мира	2	2
31	или несколькими социально-языковыми	2	2
32	из участников рассказываемой	2	2
33	событие самого рассказывания	2	2
34	главное действующее лицо	2	2
35	семантических единиц текста	2	2
36	присутствия в мире	2	2
37	войне и мире	2	2
38	в современной нарратологии	3	2
39	мы имеем дело	3	2
40	участников рассказываемой истории	2	2
41	в свою очередь	4	2
42	о том что	4	2
43	имеем дело с	2	2
44	не сводится к	4	2
45	в войне и	2	2
46	с установкой на	2	2
47	нести в себе	2	2
48	происходящего вокруг нас	2	2
49	в данном рассказе	4	2
50	другим потому что	2	2
51	принадлежат взрослому голосу	2	2
52	несколькими социально-языковыми кругозорами	2	2
53	лицо события свидетель	2	2
54	может быть не	3	2
55	о них как	2	2
56	но и в	2	2
57	двумя или несколькими	2	2
