N	2gram	Tiupa_Anal_3	Myslijsy
1	то есть	10	42
2	и в	18	39
3	может быть	9	27
4	в том	9	26
5	только в	2	25
6	что в	9	22
7	не может	2	22
8	а не	9	21
9	не только	22	21
10	в нем	2	20
11	но и	13	20
12	и не	12	18
13	том что	12	16
14	не в	6	15
15	в этом	14	15
16	отношению к	7	13
17	так и	14	13
18	по отношению	7	13
19	в себе	2	13
20	таким образом	4	13
21	было бы	3	12
22	мы не	3	10
23	по себе	4	10
24	что не	3	10
25	не есть	4	10
26	то что	2	10
27	как в	3	10
28	могут быть	2	9
29	как и	14	9
30	тем что	2	9
31	но в	2	9
32	в одном	4	8
33	но не	7	8
34	вместе с	2	8
35	со стороны	9	8
36	в слове	5	8
37	точки зрения	3	8
38	с другой	7	7
39	в ней	2	7
40	с этим	3	7
41	по его	3	7
42	это не	2	7
43	не менее	4	6
44	тем не	2	6
45	и как	4	6
46	еще не	6	6
47	как бы	10	6
48	что и	5	6
49	все же	4	6
50	то же	3	6
51	при этом	11	6
52	и по	2	6
53	с тем	2	5
54	для всех	2	5
55	несмотря на	2	5
56	то в	2	5
57	и потому	2	5
58	в его	7	5
59	не видно	2	5
60	в первом	2	5
61	другой стороны	5	5
62	во всех	2	5
63	а в	10	5
64	и для	2	5
65	во втором	4	5
66	и его	13	5
67	между тем	5	5
68	никогда не	5	4
69	однако в	5	4
70	тем самым	4	4
71	с нею	2	4
72	прежде всего	5	4
73	не более	2	4
74	в свою	5	4
75	субъекта и	2	4
76	свою очередь	4	4
77	же время	3	4
78	для него	6	4
79	к тому	6	4
80	в каждом	3	4
81	не было	3	4
82	и даже	8	4
83	тому как	2	4
84	из этих	3	4
85	во всем	3	4
86	в то	3	4
87	что мы	2	4
88	там где	2	4
89	сама по	2	3
90	в них	2	3
91	столь же	4	3
92	и от	2	3
93	в жизни	2	3
94	в этой	6	3
95	в своем	4	3
96	очевидно что	2	3
97	того же	5	3
98	одной стороны	2	3
99	по поводу	3	3
100	в мире	5	3
101	и той	2	3
102	в самом	5	3
103	были бы	3	3
104	и без	3	3
105	к первому	2	3
106	с одной	2	3
107	хотя в	2	3
108	одной и	2	3
109	в сравнении	2	3
110	не мог	2	3
111	той же	5	3
112	в глазах	2	3
113	что по	4	3
114	сказать что	2	3
115	во всяком	2	3
116	хотя и	2	3
117	он не	6	3
118	подобно тому	3	3
119	с точки	2	3
120	и все	2	3
121	но как	3	3
122	могла бы	2	2
123	только не	3	2
124	все они	2	2
125	нуждается в	2	2
126	по крайней	4	2
127	одного и	3	2
128	но с	2	2
129	ключ к	3	2
130	связь с	2	2
131	о его	2	2
132	о которых	2	2
133	же в	2	2
134	уже не	5	2
135	есть не	2	2
136	не будет	3	2
137	мысль о	3	2
138	в сущности	5	2
139	могли бы	2	2
140	значительной степени	2	2
141	вопроса о	2	2
142	но всегда	2	2
143	крайней мере	4	2
144	с ее	3	2
145	в целом	3	2
146	в их	6	2
147	не могла	2	2
148	тогда как	20	2
149	и б	2	2
150	и того	3	2
151	доказывает что	2	2
152	сравнении с	2	2
153	в начале	6	2
154	о том	6	2
155	дело в	2	2
156	со мною	2	2
157	видеть в	2	2
158	так сказать	2	2
159	когда мы	2	2
160	мы можем	2	2
