N	2gram	Nazirov_Vr_1	UchenyiS
1	и в	8	14
2	не только	9	10
3	и не	5	8
4	то что	7	7
5	в этом	8	7
6	не может	2	7
7	может быть	4	6
8	все это	4	5
9	то же	5	5
10	но и	7	4
11	в этой	2	4
12	в россии	5	4
13	но в	6	3
14	как и	6	3
15	и то	2	3
16	все же	6	3
17	в своей	2	3
18	по нашему	3	3
19	же время	5	3
20	для него	2	3
21	это не	4	3
22	в то	5	3
23	том что	3	2
24	в том	3	2
25	с его	3	2
26	но это	2	2
27	о чем	2	2
28	и с	6	2
29	тем что	3	2
30	его и	2	2
31	что он	4	2
32	и у	3	2
33	в себе	2	2
34	как раз	2	2
35	в конце	3	2
36	одним из	3	2
37	в его	3	2
38	между тем	5	2
39	на первый	2	2
40	таким образом	2	2
41	же не	2	2
