N	2gram	Savitsky_P_1	Problema
1	то что	4	42
2	и в	14	32
3	и не	12	31
4	не менее	2	19
5	в этом	10	19
6	не только	17	17
7	потому что	3	16
8	по себе	4	15
9	а не	2	15
10	в виде	2	15
11	в себе	3	15
12	как бы	4	14
13	может быть	5	14
14	но в	9	14
15	и тем	2	13
16	в нем	3	13
17	что мы	3	13
18	как раз	2	13
19	что в	4	12
20	том что	4	12
21	и т	3	11
22	есть нечто	2	11
23	то же	9	10
24	прежде всего	3	10
25	отнюдь не	2	10
26	но не	3	9
27	в том	9	9
28	но и	6	9
29	и это	2	9
30	не может	4	8
31	и о	5	8
32	было бы	6	8
33	для того	3	8
34	все это	2	7
35	того что	2	7
36	в них	2	7
37	во всех	2	7
38	только в	7	7
39	и есть	2	6
40	и как	3	6
41	и если	4	6
42	хотя и	3	6
43	это не	3	6
44	говорить о	2	6
45	есть не	2	6
46	в то	7	6
47	в его	2	6
48	в своем	4	5
49	для нас	2	5
50	есть в	2	5
51	в котором	4	5
52	она есть	3	5
53	мы должны	4	5
54	с тем	3	5
55	тем более	2	5
56	именно в	2	4
57	не в	5	4
58	и пр	5	4
59	не было	2	4
60	а в	4	4
61	именно как	2	4
62	если бы	4	4
63	же в	4	4
64	никак не	2	4
65	а также	4	4
66	тем самым	3	4
67	в отношении	10	3
68	с другой	5	3
69	хотя бы	8	3
70	из них	2	3
71	в которых	5	3
72	с этим	2	3
73	точки зрения	3	3
74	помнить что	2	3
75	в жизни	2	3
76	в ее	2	3
77	не нужно	2	3
78	сами по	3	3
79	да и	2	3
80	может и	2	3
81	во всей	2	3
82	с точки	3	3
83	друг другу	2	2
84	россии как	3	2
85	например в	2	2
86	не о	2	2
87	должно быть	2	2
88	и с	2	2
89	я и	3	2
90	между тем	3	2
91	для них	2	2
92	могут быть	3	2
93	но о	2	2
94	в качестве	9	2
95	между прочим	2	2
96	и потому	4	2
97	не будем	2	2
98	сколько бы	2	2
99	мы не	3	2
100	является в	2	2
101	в области	11	2
102	в эту	2	2
