N	3gram	Vygotskiy__3	Problema
1	тем не менее	5	10
2	в том что	17	9
3	той или иной	2	8
4	в связи с	5	7
5	и то что	2	7
6	и в этом	2	6
7	сами по себе	3	6
8	во всяком случае	4	6
9	с другой стороны	3	5
10	не может быть	2	5
11	в то время	4	4
12	то время как	4	4
13	та или иная	3	3
14	мы могли бы	7	3
15	можно было бы	5	3
16	о том что	3	3
17	того или иного	2	3
18	само по себе	2	3
19	заключается в том	7	3
20	что и в	5	3
21	том виде как	2	2
22	по сравнению с	3	2
23	на первый план	2	2
24	того же типа	2	2
25	же как и	4	2
26	в отличие от	6	2
27	только потому что	2	2
28	как мы видели	3	2
29	между знаком и	2	2
30	этой точки зрения	2	2
31	в том виде	2	2
32	это значит что	4	2
