N	2gram	Tiupa_Narr_1	VrazhdaK
1	в году	2	18
2	у тургенева	2	11
3	не только	31	9
4	в этом	12	8
5	и в	11	8
6	но и	27	7
7	что в	3	7
8	то что	9	7
9	и все	3	7
10	в нем	4	6
11	все же	4	6
12	и даже	2	6
13	в романе	2	6
14	как и	13	6
15	в начале	3	6
16	но в	7	6
17	и с	3	6
18	о нем	3	6
19	то же	8	5
20	не было	3	5
21	и не	23	5
22	у него	7	5
23	об этом	6	5
24	между тем	3	5
25	в то	4	5
26	же время	4	5
27	как бы	6	4
28	это не	3	4
29	что он	3	4
30	с ним	2	4
31	может быть	15	4
32	при этом	19	4
33	о том	4	4
34	в ней	4	4
35	речь идет	3	3
36	с его	4	3
37	связи с	2	3
38	в своем	3	3
39	что у	4	3
40	в связи	2	3
41	в конце	2	3
42	матери и	4	3
43	человека в	2	3
44	на то	2	3
45	в том	8	3
46	раз в	2	3
47	и его	10	3
48	том что	7	3
49	и как	3	3
50	в его	6	3
51	в русской	3	3
52	и о	3	3
53	в чем	2	3
54	он не	3	3
55	и т.п	8	2
56	после смерти	2	2
57	он сам	3	2
58	в известном	2	2
59	в своей	5	2
60	из них	4	2
61	не менее	3	2
62	никогда не	4	2
63	вместе с	2	2
64	отнюдь не	2	2
65	его и	2	2
66	столь же	5	2
67	как раз	6	2
68	так в	4	2
69	не может	8	2
70	а в	13	2
71	тогда как	10	2
72	начиная с	3	2
73	в той	2	2
74	уже не	8	2
75	от сознания	2	2
76	к себе	4	2
77	не мог	6	2
78	и он	6	2
79	в повести	2	2
80	же в	2	2
81	в глазах	3	2
82	в этой	6	2
83	и то	3	2
84	их в	3	2
85	но как	3	2
86	точки зрения	5	2
87	в свою	2	2
88	и ее	3	2
89	и стал	2	2
90	в себе	6	2
91	для него	4	2
92	еще не	4	2
93	о чем	4	2
94	в мире	4	2
95	одна из	4	2
96	к ним	2	2
97	а также	6	2
