N	2gram	Medvedev_S_1	Komedia
1	и в	3	22
2	том что	2	13
3	в том	5	12
4	таким образом	2	12
5	в его	3	8
6	в этом	5	8
7	то же	2	7
8	в конце	2	7
9	еще не	2	6
10	может быть	2	6
11	и что	2	6
12	что в	2	5
13	не только	3	5
14	все это	7	5
15	по отношению	2	5
16	более чем	3	5
17	не в	3	4
18	тем более	2	4
19	то что	2	4
20	но и	2	4
21	в частности	2	3
22	далеко не	2	3
23	было бы	2	3
24	и мы	2	3
25	как бы	2	3
26	отношению к	2	3
27	по существу	2	2
28	только как	2	2
29	за пределы	2	2
30	конце концов	2	2
31	дело не	2	2
32	в результате	2	2
