N	2gram	Tiupa_Teor_1	Dialekti
1	и не	13	30
2	и в	18	18
3	может быть	17	17
4	точки зрения	9	17
5	в нем	4	16
6	ни в	2	15
7	и –	3	14
8	а не	9	14
9	потому что	3	14
10	что в	9	13
11	то что	3	13
12	не только	16	13
13	и даже	2	13
14	если бы	3	12
15	и что	3	12
16	с точки	3	12
17	в этом	8	12
18	не может	4	12
19	как бы	5	11
20	все это	2	11
21	– не	4	11
22	в себе	9	11
23	прежде всего	2	10
24	то же	7	10
25	сказать что	3	10
26	никогда не	4	9
27	отнюдь не	3	9
28	это не	2	9
29	в том	16	9
30	так и	10	9
31	том что	9	9
32	– это	18	9
33	и то	2	9
34	вовсе не	3	7
35	и как	2	7
36	то в	2	7
37	но и	9	7
38	что она	2	7
39	с другой	7	6
40	можно сказать	3	6
41	– все	3	6
42	и вот	3	6
43	не в	7	6
44	в то	6	6
45	но в	9	6
46	я не	2	5
47	в этих	3	5
48	в своем	4	5
49	в противоположность	2	5
50	– как	2	5
51	не с	3	5
52	отношение к	5	5
53	в отношении	3	5
54	а в	13	5
55	говорить о	3	5
56	в виду	5	5
57	– в	15	4
58	в конце	2	4
59	но –	2	4
60	к тому	2	4
61	об этом	2	4
62	но не	9	4
63	же время	5	4
64	хотя и	3	4
65	быть и	2	4
66	так же	2	4
67	другой стороны	5	4
68	как раз	2	4
69	и притом	2	4
70	как это	8	4
71	для меня	2	4
72	тому что	2	3
73	в них	2	3
74	этом смысле	2	3
75	не является	4	3
76	или иной	4	3
77	что и	2	3
78	а только	3	3
79	– и	2	3
80	более или	2	3
81	говорит что	2	3
82	случае не	2	3
83	отношении к	2	3
84	и о	4	3
85	он не	3	3
86	в его	6	3
87	и потому	2	3
88	если в	2	3
89	даже в	3	3
90	один из	2	3
91	но она	2	3
92	отношения к	2	3
93	или менее	2	3
94	в их	2	3
95	в самом	4	3
96	тех или	3	3
97	была бы	3	3
98	в данном	8	3
99	в основе	3	3
100	могут быть	4	3
101	только в	6	3
102	ни к	3	2
103	не менее	4	2
104	того что	4	2
105	е о	2	2
106	именно в	3	2
107	в частности	16	2
108	не знает	3	2
109	в качестве	24	2
110	как в	5	2
111	из этих	3	2
112	с другими	5	2
113	тот кто	2	2
114	в мире	19	2
115	как и	4	2
116	для него	2	2
117	еще не	4	2
118	одной стороны	2	2
119	и больше	2	2
120	о своем	2	2
121	никто не	2	2
122	вслед за	2	2
123	и является	2	2
124	мог бы	3	2
125	в своей	6	2
126	дело не	2	2
127	со стороны	2	2
128	а с	3	2
129	с одной	2	2
130	все эти	2	2
131	мы имеем	7	2
132	если мы	2	2
133	уже не	4	2
134	и для	2	2
135	отличается от	2	2
136	может оказаться	2	2
137	в другом	3	2
138	я в	16	2
139	могла бы	2	2
140	говоря о	3	2
141	и это	2	2
142	на деле	2	2
143	это было	2	2
