N	2gram	Bakhtin_fo_2	Problema
1	и не	9	28
2	то есть	10	27
3	не только	11	24
4	только в	11	23
5	вовсе не	13	21
6	в том	10	20
7	и в	46	20
8	все эти	5	16
9	смысле слова	2	15
10	то что	7	15
11	потому что	8	15
12	у нас	2	14
13	было бы	2	14
14	но и	9	14
15	точки зрения	10	14
16	или иной	2	13
17	не в	9	13
18	также и	4	13
19	в себе	4	12
20	том что	4	12
21	прежде всего	14	11
22	по себе	2	11
23	с точки	8	11
24	отнюдь не	4	10
25	в качестве	3	10
26	не является	3	10
27	так и	7	10
28	и его	12	10
29	это значит	3	10
30	может быть	7	9
31	все это	6	9
32	и даже	3	9
33	в этом	22	9
34	что он	3	8
35	таким образом	3	8
36	в той	2	8
37	во всяком	2	8
38	и все	6	8
39	но в	10	8
40	значит что	2	8
41	с другой	2	7
42	это не	2	7
43	еще не	6	7
44	и потому	2	7
45	то же	8	7
46	именно в	2	7
47	а не	4	7
48	и с	6	7
49	здесь не	2	7
50	всех этих	7	6
51	и от	2	6
52	так что	4	6
53	а также	3	6
54	как и	8	6
55	но это	2	6
56	что здесь	2	6
57	по своему	2	6
58	при этом	6	6
59	в виду	3	6
60	в данном	2	6
61	же самое	3	6
62	мы имеем	2	6
63	но не	5	5
64	хотя и	3	5
65	в нем	5	5
66	здесь в	6	5
67	в смысле	5	5
68	можно сказать	2	5
69	и о	2	5
70	человеческой жизни	4	5
71	жизни и	8	5
72	вместе с	9	5
73	как в	4	5
74	так же	2	5
75	не может	2	5
76	в них	7	5
77	так как	6	5
78	уже не	3	5
79	в этих	3	5
80	о том	4	5
81	уже в	4	4
82	с тем	2	4
83	и есть	2	4
84	в отношении	2	4
85	и для	9	4
86	и во	6	4
87	в одном	7	4
88	в самой	2	4
89	в этой	2	4
90	кроме того	3	4
91	как бы	10	4
92	тем более	3	4
93	и т	14	4
94	же в	4	4
95	во всех	11	4
96	без всякого	2	4
97	и только	2	4
98	с этим	5	4
99	а в	3	4
100	и наконец	6	4
101	жизнь и	3	4
102	в то	5	4
103	с ним	4	4
104	в связи	8	3
105	человека в	6	3
106	к тому	3	3
107	и весь	2	3
108	и более	2	3
109	все они	3	3
110	если не	2	3
111	и к	2	3
112	как мы	6	3
113	все в	2	3
114	он был	2	3
115	для него	3	3
116	здесь мы	3	3
117	и как	3	3
118	в ряд	9	3
119	связи с	8	3
120	в истории	4	3
121	конечно не	4	3
122	вплоть до	2	3
123	в его	8	3
124	только для	2	3
125	что и	3	3
126	что в	5	3
127	в своем	5	3
128	т д	3	3
129	не было	3	3
130	для того	8	3
131	и на	7	3
132	тем что	3	3
133	из них	8	3
134	имеем в	3	3
135	в другом	3	3
136	самой жизни	3	3
137	явлений и	2	3
138	как это	2	3
139	эти образы	2	2
140	всю эту	2	2
141	до того	2	2
142	в частности	5	2
143	в корне	2	2
144	в конце	2	2
145	в литературе	2	2
146	нет и	3	2
147	с такою	2	2
148	ему в	3	2
149	новое и	3	2
150	самое время	3	2
151	то в	2	2
152	что они	4	2
153	в пределах	5	2
154	тот же	3	2
155	со всеми	2	2
156	том как	3	2
157	в это	3	2
158	он не	5	2
159	перестает быть	2	2
160	в котором	4	2
161	и всех	2	2
162	сами по	2	2
163	только один	2	2
164	не могли	3	2
165	все же	6	2
166	и прежде	3	2
167	жизни в	4	2
168	в совершенно	3	2
169	на земле	2	2
170	но эта	2	2
171	того чтобы	8	2
172	и он	4	2
173	и по	3	2
174	почти всегда	2	2
175	говорить о	2	2
176	во все	2	2
177	и совершенно	3	2
178	далеко не	2	2
179	его в	6	2
180	и это	2	2
181	этих образов	2	2
182	весь мир	3	2
183	того же	3	2
184	еще более	4	2
