N	2gram	Medvedev_U_1	Analitik
1	в этом	7	18
2	в частности	3	16
3	и в	14	16
4	не только	10	16
5	как и	3	14
6	в том	2	12
7	но и	4	12
8	и не	8	12
9	том что	2	12
10	могут быть	2	10
11	а не	10	10
12	в этой	4	9
13	ничего не	2	9
14	не случайно	2	8
15	в себе	2	7
16	то что	7	7
17	с другой	4	6
18	в самом	2	6
19	может быть	6	6
20	но в	3	6
21	в сторону	2	5
22	в конце	2	4
23	не в	2	4
24	но не	2	4
25	для него	3	4
26	и является	2	4
27	все это	5	4
28	как раз	2	4
29	не может	7	4
30	то же	5	4
31	только в	2	4
32	не столько	2	3
33	по крайней	2	3
34	прежде всего	8	3
35	было бы	3	3
36	крайней мере	2	3
37	что и	2	3
38	в их	4	3
39	если бы	2	3
40	этом отношении	2	3
41	и то	3	3
42	тем что	2	3
43	сводится к	2	3
44	и т.д	3	3
45	эстетического объекта	6	3
46	в конечном	4	3
47	а как	2	2
48	художественного произведения	2	2
49	для всех	2	2
50	при таком	2	2
51	что все	2	2
52	этом смысле	2	2
53	или иных	2	2
54	по себе	2	2
55	конечном счете	4	2
56	по существу	2	2
57	должна была	2	2
58	превращается в	2	2
59	же время	3	2
60	о чем	2	2
61	в своей	3	2
62	не о	3	2
63	это было	2	2
64	не есть	2	2
65	что она	2	2
66	другой стороны	3	2
67	таким образом	2	2
68	тех или	2	2
69	или точнее	3	2
70	и для	2	2
71	не следует	3	2
72	между тем	2	2
73	в то	3	2
74	в его	2	2
75	же не	2	2
