N	2gram	Nazirov_Tv_1	Sovremen
1	не может	4	17
2	может быть	5	12
3	таким образом	5	11
4	в каждом	3	8
5	в этом	6	7
6	и в	21	7
7	и не	7	6
8	как и	12	6
9	прежде всего	4	5
10	и наконец	2	5
11	как бы	17	4
12	в целом	4	4
13	жизни и	3	4
14	вместе с	2	4
15	это не	4	4
16	а в	6	4
17	не только	7	4
18	в том	7	4
19	в дальнейшем	3	4
20	из них	2	4
21	так как	3	4
22	уже в	3	3
23	самого начала	3	3
24	все же	5	3
25	отнюдь не	5	3
26	может не	2	3
27	все это	10	3
28	то же	13	3
29	в нем	3	3
30	а не	5	3
31	с самого	3	3
32	не в	2	3
33	в этой	5	3
34	одна из	2	3
35	при этом	7	3
36	и все	6	3
37	в первом	2	3
38	в себе	2	3
39	что она	2	3
40	но в	7	3
41	так сказать	2	2
42	не менее	6	2
43	в виде	3	2
44	у него	7	2
45	приводит к	2	2
46	в отличие	2	2
47	что все	3	2
48	еще более	2	2
49	уже не	3	2
50	и будет	2	2
51	в свою	7	2
52	№ с	2	2
53	самом деле	2	2
54	и даже	3	2
55	и по	3	2
56	тем не	2	2
57	той же	3	2
58	такой же	2	2
59	времени и	4	2
60	могут быть	2	2
61	что в	12	2
62	настоящее время	2	2
63	тот же	2	2
64	со всеми	3	2
65	в один	2	2
66	на его	3	2
67	по мнению	3	2
68	в самом	3	2
69	в новых	2	2
70	в которой	3	2
71	отличие от	2	2
72	в его	13	2
