N	2gram	Propp_Isto_6	NovoeSre
1	а не	2	17
2	не может	6	16
3	и в	26	16
4	и не	10	11
5	что в	12	9
6	жизни и	2	8
7	он не	2	8
8	в том	12	8
9	не будет	5	7
10	как и	5	7
11	в этом	12	7
12	может быть	11	7
13	с его	4	6
14	никогда не	13	6
15	не в	3	6
16	но это	4	6
17	ни в	2	6
18	в нем	8	5
19	в ней	5	5
20	не только	10	5
21	то что	6	4
22	в них	3	4
23	это не	4	4
24	не было	3	4
25	не имеет	2	4
26	потому что	13	4
27	прежде всего	4	4
28	о том	7	4
29	значит что	2	4
30	но и	9	3
31	не есть	2	3
32	должна быть	3	3
33	в своей	3	3
34	с другой	10	3
35	вопрос о	3	3
36	не означает	2	3
37	к тому	2	3
38	с тем	4	3
39	как в	6	3
40	она не	3	3
41	еще не	9	3
42	наряду с	3	3
43	сказать что	3	3
44	все время	2	2
45	у него	7	2
46	вместе с	8	2
47	так и	5	2
48	что она	3	2
49	не будут	2	2
50	и формы	2	2
51	другой стороны	8	2
52	и от	3	2
53	а в	3	2
54	с одной	7	2
55	все эти	8	2
56	уже не	7	2
57	такой же	3	2
58	одной стороны	7	2
59	зависит от	4	2
60	но не	2	2
61	вот почему	3	2
62	в свои	2	2
63	так же	2	2
64	время как	3	2
65	мы не	6	2
66	том что	10	2
67	можно было	2	2
68	связана с	3	2
69	связаны с	5	2
70	же как	3	2
71	одна из	2	2
72	и с	6	2
73	и что	5	2
74	могут быть	3	2
75	с этим	2	2
76	и на	12	2
77	в себе	3	2
78	в то	5	2
79	как будто	3	2
80	и это	8	2
81	когда мы	2	2
82	мира и	2	2
83	как это	5	2
84	но для	2	2
85	но в	7	2
