N	2gram	Nazirov_Tv_1	Vladivir
1	и в	21	40
2	то что	8	28
3	и не	7	25
4	не только	7	25
5	то есть	12	24
6	у него	7	24
7	но и	3	18
8	в том	7	18
9	том что	11	18
10	что в	12	17
11	в этом	6	16
12	так что	2	14
13	в его	13	14
14	не может	4	14
15	вовсе не	5	13
16	в виде	3	13
17	только в	5	13
18	сказать что	2	12
19	никогда не	3	11
20	таким образом	5	11
21	потому что	5	11
22	о том	6	11
23	прежде всего	4	10
24	тем не	2	10
25	в году	7	10
26	и его	6	10
27	не менее	6	9
28	уже не	3	9
29	и с	3	9
30	в своей	4	9
31	в себе	2	9
32	не был	3	8
33	в своем	4	8
34	в этой	5	8
35	для него	6	8
36	может быть	5	8
37	так же	3	8
38	он не	8	8
39	а не	5	8
40	что все	3	7
41	к тому	2	7
42	и как	4	7
43	хотя и	3	7
44	там же	3	7
45	а в	6	7
46	в своих	5	7
47	так как	3	7
48	того что	3	7
49	в то	15	7
50	что и	2	7
51	вместе с	2	7
52	как и	12	7
53	же с	2	7
54	и даже	3	6
55	не мог	2	6
56	и на	7	6
57	и от	4	6
58	xix века	6	6
59	об этом	2	6
60	то в	2	6
61	не будет	2	6
62	так и	2	6
63	№ с	2	6
64	хотя бы	5	6
65	но это	5	6
66	значит что	2	6
67	с другой	3	5
68	но если	3	5
69	в ней	2	5
70	отнюдь не	5	5
71	что он	6	5
72	еще в	2	5
73	только на	2	5
74	в данном	2	5
75	дело в	3	5
76	точно так	2	4
77	в дальнейшем	3	4
78	такой же	2	4
79	в глаза	2	4
80	до конца	2	4
81	в самом	3	4
82	в котором	6	4
83	при помощи	2	4
84	и все	6	4
85	но не	3	4
86	в основном	4	4
87	даже в	3	4
88	говорит о	3	4
89	то же	13	4
90	все же	5	4
91	но в	7	4
92	по мнению	3	4
93	перед нами	2	3
94	уже в	3	3
95	я не	3	3
96	в качестве	2	3
97	это не	4	3
98	человека и	4	3
99	при этом	7	3
100	как бы	17	3
101	в виду	2	3
102	был бы	2	3
103	и тем	2	3
104	в нем	3	3
105	и против	2	3
106	именно в	2	3
107	на первом	2	3
108	году в	2	3
109	не так	3	3
110	не столько	2	3
111	настоящее время	2	3
112	в россии	3	3
113	с каким	2	3
114	в духе	2	3
115	ее в	3	3
116	в отличие	2	3
117	на самом	3	3
118	и у	2	3
119	и притом	2	3
120	не в	2	3
121	далеко не	3	3
122	первом плане	2	3
123	в чем	2	3
124	отличие от	2	3
125	он сам	6	2
126	и красота	2	2
127	в этих	2	2
128	спб с	2	2
129	к добру	2	2
130	что его	2	2
131	же время	12	2
132	в нашей	2	2
133	не имеют	4	2
134	он ни	3	2
135	и наконец	2	2
136	же и	2	2
137	на эти	2	2
138	здесь нет	2	2
139	в целом	4	2
140	живой жизни	2	2
141	что она	2	2
142	в их	3	2
143	который в	3	2
144	мы находим	2	2
145	но только	2	2
146	в одно	2	2
147	и по	3	2
148	больше чем	2	2
149	это время	2	2
150	ни на	3	2
151	можно не	2	2
152	нет ни	2	2
153	не существует	3	2
154	во многом	7	2
155	в книге	3	2
156	с его	11	2
157	в настоящем	2	2
158	т ii	2	2
159	м с	5	2
160	в жизни	2	2
161	к этому	2	2
162	согласии с	2	2
163	есть не	2	2
164	вот в	2	2
165	того же	2	2
166	не нужно	2	2
167	из них	2	2
168	одной из	4	2
169	по преимуществу	2	2
170	свободе воли	2	2
171	в мире	4	2
172	данном случае	2	2
173	только что	2	2
174	так вот	2	2
175	в с	2	2
176	вопросы философии	2	2
177	тем самым	7	2
178	свидетельствует о	2	2
179	о свободе	3	2
180	в в	2	2
181	в которой	3	2
