N	3gram	Vinokur_St_1	Myslijsy
1	в том что	17	13
2	по отношению к	3	13
3	не может быть	5	9
4	и в этом	3	6
5	тем не менее	2	6
6	только в том	3	6
7	с другой стороны	6	5
8	в том смысле	2	4
9	не в том	2	4
10	и т д	21	4
11	но и в	2	4
12	что не может	2	3
13	то же время	4	3
14	и в том	2	3
15	так и в	4	3
16	с точки зрения	8	3
17	с одной стороны	2	3
18	в то же	4	3
19	не только в	4	3
20	в том как	3	3
21	что и в	4	3
22	так как в	2	2
23	по крайней мере	2	2
24	дело в том	4	2
25	как и в	2	2
26	и т п	9	2
27	но с другой	2	2
28	в применении к	3	2
29	для того чтобы	10	2
