N	2gram	Bakhtin_Pr_2	OGranits
1	и в	43	13
2	и его	8	12
3	прежде всего	10	9
4	не может	18	8
5	и не	29	8
6	может быть	23	8
7	и их	3	7
8	точки зрения	13	7
9	и пр	2	7
10	в его	10	7
11	таким образом	5	6
12	не только	11	6
13	то что	7	6
14	только в	4	6
15	как бы	22	6
16	все же	3	5
17	с точки	8	5
18	и эта	2	5
19	но ведь	5	5
20	хотя бы	2	5
21	в поэзии	2	5
22	и наконец	6	5
23	в процессе	2	5
24	то же	8	4
25	в своей	4	4
26	все это	5	4
27	в каждом	11	4
28	на фоне	5	4
29	лишь в	8	4
30	мы не	4	4
31	мы можем	2	4
32	слов и	5	4
33	было бы	5	4
34	но в	10	4
35	произведения как	2	4
36	отношению к	5	3
37	что в	4	3
38	никогда не	9	3
39	но и	14	3
40	так и	3	3
41	что же	7	3
42	в их	3	3
43	по отношению	5	3
44	не как	6	3
45	и все	6	3
46	в одном	12	3
47	превращается в	2	3
48	здесь мы	2	3
49	самом деле	5	3
50	к одному	6	3
51	да и	5	3
52	как и	14	3
53	не в	11	3
54	за пределы	3	3
55	и то	2	3
56	в пределах	16	3
57	одно и	2	3
58	в себе	5	3
59	с этим	2	3
60	и для	3	3
61	так как	4	3
62	но для	3	3
63	слово в	8	3
64	не менее	3	2
65	и др	2	2
66	себе что	2	2
67	для себя	2	2
68	уже в	2	2
69	а как	4	2
70	в нем	12	2
71	ее в	2	2
72	он только	2	2
73	в целом	2	2
74	сознания и	3	2
75	а не	7	2
76	в отношении	3	2
77	в произведении	4	2
78	материал в	2	2
79	может стать	4	2
80	другой стороны	3	2
81	но так	2	2
82	с другой	4	2
83	не на	4	2
84	в них	4	2
85	входит в	2	2
86	а в	5	2
87	все эти	5	2
88	вовсе не	5	2
89	конечно в	2	2
90	же слово	2	2
91	каждое слово	2	2
92	к тому	4	2
93	и к	3	2
94	как в	2	2
95	если бы	3	2
96	в том	6	2
97	наконец в	3	2
98	так же	2	2
99	том что	2	2
100	с ними	2	2
101	в своих	2	2
102	в этом	13	2
103	тем что	3	2
104	между тем	3	2
105	и следовательно	3	2
106	могут быть	3	2
107	при этом	6	2
108	и ее	3	2
109	для него	8	2
110	в другом	7	2
111	в руках	2	2
112	во всем	3	2
113	тот же	3	2
114	более того	4	2
115	представим себе	2	2
116	кажется что	3	2
117	мы уже	3	2
118	слова и	12	2
119	в самом	7	2
120	героя и	5	2
121	и при	2	2
122	там где	4	2
123	бы в	5	2
124	между собою	4	2
125	и является	2	2
