N	2gram	Tiupa_Anal_2	Sovremen
1	не может	4	17
2	точки зрения	4	12
3	может быть	6	12
4	таким образом	2	11
5	в этом	18	7
6	и в	16	7
7	и не	12	6
8	как и	14	6
9	в результате	3	6
10	ничего не	9	6
11	прежде всего	3	5
12	с точки	2	5
13	как бы	10	4
14	в целом	8	4
15	вместе с	2	4
16	а в	3	4
17	не только	16	4
18	в том	12	4
19	из них	3	4
20	на этой	2	3
21	отнюдь не	8	3
22	при таком	2	3
23	все это	4	3
24	в конце	4	3
25	то же	4	3
26	на две	3	3
27	а не	10	3
28	и к	5	3
29	не в	4	3
30	в этой	9	3
31	еще не	2	3
32	он в	4	3
33	при этом	10	3
34	было бы	3	3
35	и т.д	3	3
36	в два	2	3
37	в одном	2	3
38	и все	3	3
39	в себе	7	3
40	что она	2	3
41	но в	6	3
42	ведь это	2	3
43	не менее	4	2
44	у него	4	2
45	в нашем	3	2
46	на котором	2	2
47	приводит к	3	2
48	и во	2	2
49	в отличие	2	2
50	что все	2	2
51	с одной	5	2
52	еще более	2	2
53	как мы	3	2
54	уже не	4	2
55	или иной	3	2
56	роль в	2	2
57	на этот	2	2
58	и даже	9	2
59	тем не	3	2
60	той же	2	2
61	в таком	2	2
62	на этом	4	2
63	могут быть	10	2
64	что в	2	2
65	говорить о	6	2
66	в один	4	2
67	на его	3	2
68	такого рода	2	2
69	в самом	6	2
70	о жизни	2	2
71	отличие от	2	2
72	в его	2	2
