N	2gram	Savitsky_P_1	FransuaR
1	и в	14	45
2	и не	12	15
3	не только	17	14
4	в этом	10	14
5	но в	9	14
6	в его	2	13
7	во всех	2	13
8	как бы	4	12
9	что в	4	12
10	в своем	4	11
11	то же	9	11
12	в то	7	11
13	прежде всего	3	10
14	в том	9	10
15	в нем	3	10
16	но и	6	10
17	и с	2	10
18	же время	7	9
19	в ней	6	8
20	том что	4	7
21	не в	5	7
22	все это	2	7
23	потому что	3	7
24	для того	3	6
25	в них	2	6
26	и к	4	5
27	например в	2	5
28	хотя и	3	5
29	как раз	2	5
30	не может	4	5
31	и как	3	5
32	том числе	2	4
33	мы не	3	4
34	но не	3	4
35	в общем	2	4
36	и о	5	4
37	а также	4	4
38	а не	2	4
39	как на	2	4
40	а в	4	4
41	с этим	2	4
42	точки зрения	3	4
43	только в	7	4
44	и это	2	4
45	не менее	2	3
46	к началу	2	3
47	это не	3	3
48	есть в	2	3
49	не было	2	3
50	именно в	2	3
51	и вот	2	3
52	того что	2	3
53	в которых	5	3
54	с тем	3	2
55	и есть	2	2
56	и без	3	2
57	говорить о	2	2
58	хотя бы	8	2
59	слова но	2	2
60	в отношении	10	2
61	в начале	2	2
62	то что	4	2
63	церкви и	2	2
64	в пределах	8	2
65	в качестве	9	2
66	для них	2	2
67	из важнейших	2	2
68	было бы	6	2
69	и если	4	2
70	может быть	5	2
71	если в	2	2
72	не будем	2	2
73	в значительной	2	2
74	с точки	3	2
75	не столько	2	2
76	между тем	3	2
77	в эту	2	2
