N	2gram	Voloshinov_1	Russkaja
1	не может	24	22
2	и не	26	19
3	в том	6	17
4	в этом	16	17
5	и в	19	14
6	то что	8	13
7	таким образом	17	11
8	то же	7	11
9	точки зрения	34	11
10	же время	3	10
11	но и	8	10
12	в то	3	10
13	том что	3	9
14	не только	8	9
15	в себе	2	9
16	с точки	20	9
17	может быть	26	9
18	во всяком	5	9
19	прежде всего	13	8
20	того чтобы	5	8
21	ни к	2	7
22	отнюдь не	6	7
23	к тому	2	7
24	не будет	4	7
25	самом деле	10	7
26	в данном	4	7
27	мы должны	3	7
28	о том	2	7
29	и с	2	7
30	если бы	2	6
31	на самом	3	6
32	что он	2	6
33	и к	3	6
34	и при	3	6
35	для него	9	6
36	для того	4	6
37	для всех	2	6
38	всяком случае	2	6
39	все это	3	6
40	в своем	2	6
41	и для	11	6
42	в своих	2	6
43	между собой	2	5
44	жизни в	4	5
45	хотя бы	5	5
46	вопрос о	4	5
47	и на	4	5
48	или иной	3	5
49	при этом	8	5
50	до сих	8	5
51	было бы	4	5
52	конечно не	5	5
53	в своей	3	5
54	он не	3	5
55	никогда не	2	5
56	в нем	10	5
57	сих пор	8	5
58	во всех	7	5
59	и только	2	5
60	из которых	2	5
61	а в	4	5
62	только в	9	5
63	между тем	3	5
64	не могут	3	4
65	что в	4	4
66	то ни	8	4
67	как и	12	4
68	как бы	15	4
69	себе и	2	4
70	все же	8	4
71	бы то	8	4
72	жизни и	2	4
73	в корне	3	4
74	от того	4	4
75	что же	4	4
76	точку зрения	2	4
77	не в	5	4
78	можно было	2	4
79	в его	6	4
80	и т.д	2	4
81	его в	3	4
82	так как	2	4
83	к этой	2	4
84	для них	2	3
85	именно в	5	3
86	в большинстве	3	3
87	из этих	2	3
88	в конце	5	3
89	что все	2	3
90	этом случае	3	3
91	и как	3	3
92	в другом	2	3
93	то в	2	3
94	лишь в	9	3
95	должно быть	2	3
96	в качестве	2	3
97	еще не	4	3
98	в самом	10	3
99	мы говорили	3	3
100	одной из	3	3
101	но если	2	3
102	и потому	5	3
103	и этот	2	3
104	точке зрения	2	3
105	что и	2	3
106	не есть	3	3
107	из них	3	3
108	не было	3	3
109	сводится к	3	3
110	того что	3	3
111	друг друга	8	3
112	или в	2	3
113	тем что	2	3
114	и во	2	3
115	себя от	2	3
116	связи с	11	3
117	из этого	2	3
118	конце концов	3	3
119	она может	3	3
120	одна из	2	3
121	в сознании	2	3
122	место в	3	2
123	зависит от	2	2
124	сама по	2	2
125	и более	2	2
126	которой она	2	2
127	должна быть	2	2
128	и есть	3	2
129	в частности	2	2
130	и от	3	2
131	с этим	4	2
132	этот вопрос	5	2
133	ясно что	5	2
134	культуры и	2	2
135	по себе	4	2
136	ни в	2	2
137	следовательно и	2	2
138	является не	6	2
139	от него	2	2
140	именно на	2	2
141	настоящее время	6	2
142	там и	2	2
143	она не	2	2
144	и тот	4	2
145	совершенно не	3	2
146	но для	2	2
147	в ней	4	2
148	и является	2	2
149	в котором	3	2
150	в настоящее	6	2
151	отношении к	4	2
152	на почве	6	2
153	на этой	2	2
154	благодаря этому	2	2
155	к данному	2	2
156	быть и	3	2
157	– не	6	2
158	тому что	2	2
159	целый ряд	3	2
160	по отношению	3	2
161	все эти	7	2
162	не просто	2	2
163	только на	4	2
164	а не	7	2
165	что такое	2	2
166	и даже	2	2
167	так же	7	2
168	и те	7	2
169	в таком	2	2
170	в результате	9	2
171	ведь в	2	2
172	мы можем	2	2
173	мы уже	2	2
174	в начале	5	2
175	другом и	2	2
176	большинстве случаев	3	2
177	в области	3	2
178	но в	7	2
