N	3gram	Vinokur_Vv_1	Istorich
1	и т д	37	22
2	не может быть	8	7
3	тем не менее	8	6
4	с другой стороны	5	5
5	до сих пор	5	5
6	в том что	12	4
7	с одной стороны	4	4
8	по отношению к	4	3
9	в связи с	2	3
10	о том что	12	3
11	дело в том	2	3
12	но все же	3	3
13	т д все	2	3
14	то же самое	2	3
15	точно так же	2	3
16	можно было бы	3	3
17	в отличие от	3	2
18	как будто бы	2	2
19	само по себе	3	2
20	же самое что	2	2
21	вопрос о том	5	2
22	и тем не	3	2
23	по этому поводу	2	2
24	вместе с тем	3	2
25	на этот вопрос	3	2
26	большей или меньшей	2	2
27	в этих случаях	2	2
