N	2gram	Potebnia_M_3	Dialekti
1	не есть	17	40
2	и не	15	30
3	по себе	16	25
4	и т	5	21
5	т д	3	19
6	и в	30	18
7	может быть	28	17
8	точки зрения	2	17
9	в нем	9	16
10	и есть	3	16
11	ни в	2	15
12	так что	7	15
13	не имеет	6	15
14	а не	15	14
15	потому что	46	14
16	что в	17	13
17	то что	18	13
18	не только	21	13
19	и даже	2	13
20	если бы	12	12
21	было бы	9	12
22	и что	10	12
23	в этом	10	12
24	не может	6	12
25	что это	4	11
26	что он	6	11
27	как бы	3	11
28	все это	4	11
29	в себе	16	11
30	так как	13	11
31	прежде всего	3	10
32	несмотря на	2	10
33	есть нечто	4	10
34	то же	23	10
35	что такое	2	10
36	сказать что	5	10
37	в том	32	9
38	так и	11	9
39	том что	18	9
40	и то	8	9
41	сама по	2	8
42	но это	6	8
43	к нему	3	8
44	в каком	5	8
45	не существует	3	7
46	вовсе не	7	7
47	и как	5	7
48	но и	19	7
49	что она	3	7
50	что не	8	7
51	с другой	7	6
52	можно сказать	3	6
53	она не	2	6
54	никак не	3	6
55	не было	4	6
56	есть ни	4	6
57	не в	15	6
58	в то	10	6
59	в чем	3	6
60	с ним	6	6
61	не то	3	6
62	сам по	5	6
63	в своем	5	5
64	на то	2	5
65	идеи и	2	5
66	и мы	2	5
67	ни о	3	5
68	себе не	4	5
69	все же	2	5
70	отношение к	2	5
71	что оно	11	5
72	есть только	5	5
73	а в	12	5
74	само по	3	5
75	и с	2	5
76	говорить о	3	5
77	мы должны	4	5
78	об отношении	4	5
79	по крайней	5	4
80	к тому	7	4
81	что эта	2	4
82	быть может	3	4
83	об этом	2	4
84	крайней мере	5	4
85	это и	2	4
86	мы видим	2	4
87	но не	7	4
88	от него	2	4
89	же время	5	4
90	одно и	5	4
91	в котором	4	4
92	то это	6	4
93	так же	3	4
94	другой стороны	4	4
95	собственно говоря	2	4
96	и притом	2	4
97	как мы	7	4
98	к чувственному	2	4
99	образ и	6	4
100	мы можем	3	4
101	к ней	5	4
102	и вообще	3	4
103	ничего общего	2	4
104	о том	2	4
105	для меня	4	4
106	что ни	2	3
107	тому что	3	3
108	в них	5	3
109	думать что	5	3
110	все равно	4	3
111	та же	2	3
112	есть не	7	3
113	что и	13	3
114	а только	3	3
115	только потому	3	3
116	что я	5	3
117	что они	2	3
118	более или	3	3
119	но что	2	3
120	действительности и	3	3
121	отношении к	2	3
122	и о	2	3
123	он не	4	3
124	в его	4	3
125	и потому	4	3
126	даже в	2	3
127	его с	2	3
128	один из	4	3
129	жизни и	2	3
130	но только	2	3
131	указывает на	6	3
132	или менее	3	3
133	что же	2	3
134	мысли и	2	3
135	в их	2	3
136	только на	3	3
137	в самом	8	3
138	в разных	2	3
139	но все	2	3
140	самом деле	2	3
141	была бы	4	3
142	только что	8	3
143	должно быть	5	3
144	то или	2	3
145	что для	4	3
146	и та	2	3
147	в ней	8	3
148	могут быть	3	3
149	только в	21	3
150	и все	3	3
151	иметь в	2	3
152	бы в	2	3
153	в сознании	15	3
154	от этого	2	3
155	не менее	5	2
156	того что	18	2
157	по мере	4	2
158	именно в	3	2
159	в виде	2	2
160	не знает	3	2
161	образа в	4	2
162	или что	3	2
163	как в	10	2
164	с этой	2	2
165	не как	2	2
166	эти последние	2	2
167	и от	4	2
168	из этих	9	2
169	точно так	12	2
170	с другими	5	2
171	в каждом	3	2
172	к этому	3	2
173	оно есть	3	2
174	что уже	2	2
175	как и	10	2
176	и при	4	2
177	что именно	4	2
178	как о	2	2
179	для него	9	2
180	до сих	3	2
181	только тогда	9	2
182	еще не	5	2
183	одной стороны	3	2
184	только как	5	2
185	и может	3	2
186	для того	4	2
187	никто не	3	2
188	что человек	2	2
189	вслед за	3	2
190	и следовательно	3	2
191	относится к	4	2
192	тем более	4	2
193	из них	6	2
194	в своей	2	2
195	сих пор	3	2
196	образом и	3	2
197	со стороны	3	2
198	есть для	5	2
199	и тогда	3	2
200	что даже	4	2
201	т п	2	2
202	с этим	6	2
203	а с	2	2
204	этом отношении	2	2
205	себе а	4	2
206	с одной	7	2
207	можно только	2	2
208	из того	2	2
209	отличное от	2	2
210	уже не	6	2
211	этой стороны	2	2
212	меня то	2	2
213	между собою	6	2
214	то он	2	2
215	или на	2	2
216	же и	3	2
217	то и	6	2
218	в которых	2	2
219	но как	2	2
220	могла бы	2	2
221	говоря о	4	2
222	и это	4	2
223	что как	2	2
224	то не	2	2
225	заметить что	3	2
226	которая не	2	2
227	на деле	5	2
228	нет ни	2	2
229	образа и	3	2
230	это было	3	2
