N	2gram	Tiupa_Lite_3	Istorich
1	и в	16	24
2	что он	5	21
3	не только	14	21
4	может быть	12	14
5	не может	8	14
6	что в	2	13
7	как в	5	12
8	в этом	14	12
9	но и	14	11
10	это не	5	10
11	том что	8	10
12	а в	5	10
13	с другой	6	9
14	не в	10	9
15	все же	2	9
16	о том	6	9
17	потому что	3	9
18	еще не	6	8
19	что и	2	8
20	другой стороны	2	8
21	то же	9	8
22	а не	12	8
23	один из	2	7
24	в том	12	7
25	во всех	2	7
26	то что	12	7
27	вместе с	5	7
28	тем что	2	6
29	с этой	2	6
30	как и	5	6
31	так же	2	6
32	но не	4	6
33	в нем	2	6
34	а именно	5	6
35	того что	9	6
36	только в	7	6
37	не менее	2	5
38	одной стороны	4	5
39	то это	2	5
40	отношение к	2	5
41	так и	9	5
42	с одной	4	5
43	право на	2	5
44	там где	3	5
45	но в	3	5
46	никогда не	4	4
47	что у	2	4
48	не всегда	2	4
49	по существу	4	4
50	представляет собой	2	4
51	при этом	15	4
52	своего рода	10	4
53	как бы	8	4
54	если не	2	4
55	и не	22	4
56	точки зрения	7	4
57	в данном	4	4
58	с его	6	3
59	в качестве	5	3
60	по дороге	2	3
61	не знаю	2	3
62	вопрос о	2	3
63	на то	2	3
64	и если	4	3
65	например в	3	3
66	том чтобы	2	3
67	не вполне	2	3
68	его в	2	3
69	когда он	2	3
70	с ней	2	3
71	ее в	2	3
72	данном случае	4	3
73	как мы	2	3
74	и наконец	3	3
75	и даже	2	3
76	и его	6	3
77	не случайно	3	3
78	хотя и	4	3
79	к себе	8	3
80	связи с	2	3
81	в конце	2	3
82	тогда как	17	3
83	того же	2	2
84	герой в	2	2
85	к этому	2	2
86	прежде всего	3	2
87	стороны и	2	2
88	и ее	2	2
89	в то	9	2
90	в ее	5	2
91	выше и	2	2
92	было бы	2	2
93	на его	3	2
94	в самом	3	2
95	нас к	2	2
96	ни с	2	2
97	на себя	2	2
98	еще один	2	2
99	и тем	3	2
100	со стороны	7	2
101	вплоть до	2	2
102	им в	2	2
103	здесь не	2	2
104	уже не	3	2
105	это как	3	2
106	что не	2	2
107	свое место	3	2
108	как это	3	2
109	в основе	5	2
110	из них	4	2
111	он в	2	2
112	на свое	2	2
113	и на	2	2
114	если это	2	2
