N	2gram	Ircho_Kome_3	Poddanst
1	не только	5	17
2	и в	22	14
3	и не	21	12
4	в области	2	11
5	в отношении	4	10
6	в этом	8	10
7	то же	7	9
8	в том	12	9
9	в качестве	2	9
10	но в	5	9
11	хотя бы	4	8
12	в пределах	2	8
13	же время	5	7
14	в то	6	7
15	но и	4	6
16	в ней	4	6
17	было бы	3	6
18	с другой	4	5
19	не в	4	5
20	в которых	5	5
21	и о	2	5
22	может быть	6	5
23	в котором	2	4
24	то что	4	4
25	что в	5	4
26	если бы	8	4
27	в своем	8	4
28	не может	3	4
29	и к	3	4
30	а в	7	4
31	том что	13	4
32	и если	2	4
33	а также	2	4
34	как бы	3	4
35	в нем	3	3
36	и т	4	3
37	с тем	4	3
38	и без	2	3
39	столь же	3	3
40	это не	2	3
41	с одной	3	3
42	т е	16	3
43	прежде всего	5	3
44	для того	6	3
45	с точки	3	3
46	мы не	2	3
47	между тем	2	3
48	точки зрения	4	3
49	в себе	4	3
50	что мы	2	3
51	тот же	2	3
52	одной стороны	3	3
53	наряду с	2	3
54	е и	2	3
55	потому что	10	3
56	хотя и	5	3
57	к началу	3	2
58	не менее	5	2
59	ii в	2	2
60	в мире	2	2
61	во всех	2	2
62	в частности	3	2
63	отнюдь не	4	2
64	iii в	6	2
65	тем более	4	2
66	со стороны	11	2
67	в них	3	2
68	все это	5	2
69	как раз	6	2
70	отношения к	2	2
71	с этим	3	2
72	стороны и	2	2
73	а не	4	2
74	в ее	3	2
75	говорить о	3	2
76	в силу	2	2
77	г и	2	2
78	по сравнению	2	2
79	не было	2	2
80	в начале	3	2
81	из них	5	2
82	более чем	5	2
83	и мы	3	2
84	и это	2	2
85	не о	3	2
86	в его	8	2
87	и с	4	2
