N	2gram	Nazirov_Vr_1	Problemy
1	из подполья	3	36
2	и в	8	34
3	и не	5	29
4	как бы	4	27
5	что он	4	23
6	в его	3	22
7	может быть	4	19
8	в нем	6	19
9	не может	2	19
10	и все	7	19
11	о себе	3	18
12	как и	6	18
13	к себе	2	17
14	но в	6	16
15	все это	4	16
16	и его	3	16
17	в этом	8	16
18	и с	6	15
19	что я	2	15
20	он не	3	15
21	то же	5	14
22	для него	2	13
23	у достоевского	4	13
24	т е	3	12
25	но и	7	12
26	же время	5	12
27	в то	5	12
28	то что	7	11
29	не только	9	10
30	никогда не	2	8
31	так же	4	8
32	точки зрения	2	8
33	с ним	4	8
34	я не	3	7
35	что в	7	7
36	и даже	6	7
37	все же	6	7
38	с которым	2	7
39	отношение к	2	6
40	что у	3	6
41	с его	3	6
42	в себе	2	6
43	он сам	2	5
44	это не	4	5
45	в конце	3	5
46	и что	8	5
47	из них	2	5
48	таким образом	2	5
49	не мог	2	5
50	а в	2	5
51	и у	3	5
52	в чем	3	5
53	но это	2	4
54	у него	5	4
55	при этом	4	4
56	его с	2	4
57	рядом с	2	4
58	но как	2	4
59	в начале	6	4
60	его в	3	4
61	как раз	2	4
62	еще не	2	4
63	в мире	2	4
64	с точки	2	4
65	тем что	3	4
66	и это	2	4
67	вместе с	2	4
68	не менее	2	3
69	уже в	4	3
70	в том	3	3
71	в него	2	3
72	в виду	4	3
73	в котором	6	3
74	его и	2	3
75	достоевского и	7	3
76	их в	2	3
77	в ней	4	3
78	но он	3	3
79	человека с	2	3
80	и во	3	3
81	ставрогина с	2	3
82	том что	3	3
83	между тем	5	3
84	достоевского в	7	3
85	в своей	2	3
86	а с	2	3
87	и как	3	3
88	и то	2	3
89	эти слова	3	3
90	б и	2	3
91	далеко не	3	3
92	не было	5	2
93	в роман	2	2
94	столь же	2	2
95	это в	2	2
96	мы знаем	2	2
97	в эти	2	2
98	в этот	3	2
99	я хотел	3	2
100	в своем	3	2
101	ставрогина и	3	2
102	о том	4	2
103	во время	2	2
104	отнюдь не	2	2
105	в них	2	2
106	петра верховенского	2	2
107	раз в	3	2
108	о нем	6	2
109	так в	2	2
110	в той	2	2
111	уже не	2	2
112	и он	2	2
113	за границей	2	2
114	и ее	2	2
115	же не	2	2
116	о чем	2	2
