N	3gram	Trubetskoy_1	Problema
1	в настоящее время	2	16
2	о том что	4	14
3	тем не менее	4	12
4	во всяком случае	2	10
5	в этом случае	4	7
6	в конце концов	4	7
7	и то что	3	7
8	так или иначе	5	6
9	в данном случае	3	5
10	с одной стороны	2	5
11	с другой стороны	4	5
12	в связи с	3	5
13	на то что	7	4
14	более или менее	7	4
15	до сих пор	8	4
16	в то же	2	4
17	в том что	15	4
18	только то что	2	3
19	не может быть	3	3
20	в этой области	4	3
21	мы все же	2	3
22	для того чтобы	7	2
23	друг от друга	6	2
24	в самом деле	5	2
25	бы то ни	2	2
26	друг к другу	2	2
27	ничего общего с	2	2
28	может быть и	4	2
29	в том случае	4	2
30	на самом деле	7	2
31	заключается в том	2	2
