N	2gram	Berdyaev_M_2	RusskieA
1	и в	46	29
2	т е	4	24
3	что в	4	22
4	том что	4	22
5	в том	3	22
6	как бы	8	18
7	может быть	21	13
8	так как	8	13
9	как и	13	11
10	в этом	20	11
11	е в	2	10
12	и с	3	10
13	не только	18	10
14	о том	3	9
15	а в	2	9
16	но и	15	8
17	ее в	2	8
18	его в	3	8
19	как в	7	7
20	для того	5	6
21	вместе с	2	6
22	того чтобы	4	6
23	и на	3	6
24	на земле	8	5
25	потому что	12	5
26	это не	5	5
27	то что	5	5
28	и что	2	5
29	для этого	4	5
30	не может	15	5
31	но в	10	5
32	у русских	2	4
33	в них	3	4
34	и все	5	4
35	а за	2	4
36	тогда когда	2	4
37	вопрос о	6	4
38	уже не	4	4
39	так что	2	4
40	не в	9	4
41	к нему	2	4
42	же как	3	4
43	так же	6	4
44	то же	5	4
45	у нас	11	4
46	а не	13	4
47	на этом	2	3
48	тем что	3	3
49	и там	6	3
50	в этих	2	3
51	и других	2	3
52	и от	3	3
53	не всегда	2	3
54	она не	8	3
55	до конца	4	3
56	того что	6	3
57	что она	5	3
58	не имеет	4	3
59	во всех	2	3
60	в народе	6	3
61	друг друга	12	3
62	тому как	2	3
63	между тем	2	3
64	но он	11	3
65	подобно тому	2	3
66	в этой	7	3
67	что это	6	3
68	связи с	2	2
69	никогда не	18	2
70	жизни в	3	2
71	на природу	2	2
72	ее и	2	2
73	в образе	3	2
74	если он	2	2
75	прежде всего	12	2
76	не был	2	2
77	не что	3	2
78	что и	4	2
79	к ней	2	2
80	нас не	2	2
81	это и	3	2
82	у них	4	2
83	чем в	2	2
84	совсем не	5	2
85	связано с	3	2
86	после того	2	2
87	в церкви	2	2
88	еще в	2	2
89	один из	5	2
90	должен быть	4	2
91	но она	2	2
92	в своей	5	2
93	не к	2	2
94	там и	6	2
95	того как	3	2
96	не было	11	2
97	и для	7	2
98	должно быть	2	2
99	можно было	2	2
100	принадлежат к	3	2
101	жизнь и	4	2
102	в своих	3	2
103	людей и	3	2
104	с другим	3	2
105	что иное	3	2
106	во всем	5	2
107	в которой	2	2
108	та же	10	2
109	есть в	3	2
110	иное как	3	2
