N	2gram	Medvedev_F_1	Vvedenie
1	и т	12	42
2	т д	8	36
3	т е	34	35
4	и в	24	32
5	в том	6	31
6	в этом	15	30
7	может быть	14	26
8	не только	7	22
9	таким образом	13	19
10	то что	8	16
11	не может	16	14
12	в самом	5	13
13	в нем	14	13
14	со стороны	5	13
15	того что	5	12
16	в общем	3	12
17	в их	11	12
18	и не	20	12
19	как на	4	12
20	в его	23	12
21	только в	2	12
22	как мы	5	11
23	что такое	2	11
24	ясно что	3	11
25	в ее	8	11
26	что в	4	10
27	но в	5	9
28	и как	3	9
29	в истории	4	9
30	между тем	2	9
31	по себе	5	9
32	то же	10	9
33	не менее	11	8
34	с другой	5	8
35	это не	2	8
36	а только	2	8
37	не в	8	8
38	именно в	8	8
39	науки о	2	8
40	прежде всего	22	7
41	вопрос о	2	7
42	смысле этого	3	7
43	точки зрения	16	7
44	в применении	2	7
45	но не	3	7
46	было бы	6	7
47	все же	3	7
48	самом деле	6	7
49	только как	2	7
50	до сих	6	6
51	же время	8	6
52	том чтобы	2	6
53	один из	3	6
54	но и	7	6
55	все это	9	6
56	применении к	2	6
57	и даже	3	6
58	в то	9	6
59	его в	3	6
60	с тем	2	6
61	вовсе не	10	6
62	как и	11	6
63	сих пор	6	6
64	хотя бы	5	6
65	и его	10	6
66	и это	2	6
67	в широком	3	5
68	так например	3	5
69	она есть	2	5
70	как бы	6	5
71	в целом	6	5
72	а как	2	5
73	в них	3	5
74	на почве	13	5
75	не есть	2	5
76	вместе с	2	5
77	т п	4	5
78	а не	10	5
79	независимо от	4	4
80	с этой	4	4
81	в каждом	3	4
82	как о	4	4
83	одной стороны	4	4
84	всяком случае	4	4
85	по отношению	4	4
86	в особенности	3	4
87	с одной	4	4
88	и что	2	4
89	а в	6	4
90	даже и	2	4
91	но ведь	2	4
92	как это	6	4
93	как она	3	4
94	от этого	2	4
95	что он	3	4
96	и заключается	2	4
97	еще не	6	4
98	об искусстве	3	4
99	отношению к	4	4
100	в своей	11	4
101	как раз	2	4
102	и история	3	4
103	уже не	2	4
104	или иначе	2	4
105	во всяком	4	4
106	и ее	10	4
107	в себе	3	4
108	истории литературы	12	3
109	сама по	2	3
110	в частности	4	3
111	со всей	3	3
112	к тому	3	3
113	в строгом	2	3
114	но все	2	3
115	в этой	6	3
116	до конца	7	3
117	при этом	5	3
118	в ней	10	3
119	именно как	12	3
120	мы видели	2	3
121	отношение к	3	3
122	в своем	11	3
123	все эти	6	3
124	и других	3	3
125	и вот	2	3
126	так же	4	3
127	и на	8	3
128	в работе	2	3
129	в результате	2	3
130	на нее	2	3
131	историк литературы	3	3
132	нисколько не	2	3
133	если бы	4	3
134	не как	4	3
135	этой науки	2	3
136	стороны и	4	3
137	в различных	2	3
138	и к	4	3
139	связи с	3	3
140	строгом смысле	2	3
141	в германии	2	3
142	одной из	2	3
143	в одном	2	3
144	однако не	2	3
145	должен быть	5	3
146	что и	2	3
147	каждой из	3	3
148	этой работы	2	3
149	в области	3	3
150	все время	2	2
151	же как	2	2
152	должна быть	7	2
153	все более	2	2
154	к действительности	2	2
155	никогда не	4	2
156	для этого	4	2
157	в отношении	3	2
158	целом ряде	2	2
159	по истории	2	2
160	науку о	2	2
161	но это	3	2
162	и каковы	2	2
163	литературы в	8	2
164	и др	5	2
165	значение в	3	2
166	от того	2	2
167	в связи	4	2
168	не было	3	2
169	с помощью	3	2
170	произведения и	8	2
171	действительности в	2	2
172	должно быть	11	2
173	и те	2	2
174	ее от	2	2
175	исторического изучения	2	2
176	и с	8	2
177	говорит он	3	2
178	чем же	2	2
179	с этим	2	2
180	и здесь	6	2
181	литературы с	3	2
182	искусства и	5	2
183	бы в	3	2
184	и должно	2	2
185	так и	18	2
186	могло бы	2	2
187	и чем	3	2
188	проблемы и	2	2
189	в содержании	7	2
190	и со	2	2
191	направление в	3	2
192	художественных произведений	4	2
193	значение и	3	2
194	не с	2	2
195	история литературы	9	2
196	у нас	5	2
197	по существу	2	2
198	чтобы он	2	2
199	литературы и	2	2
200	учение о	4	2
201	от действительности	2	2
202	во всех	5	2
203	жизни и	7	2
204	и историю	4	2
205	литературное произведение	10	2
206	этого слова	3	2
207	и до	5	2
208	и развития	2	2
209	быть и	4	2
210	в создании	2	2
211	только на	5	2
212	входит в	6	2
213	между ними	3	2
214	с точки	13	2
215	ко времени	2	2
216	мы не	3	2
217	у них	3	2
218	есть лишь	2	2
219	исследования и	2	2
220	время в	3	2
221	познания и	4	2
222	если же	2	2
223	здесь не	3	2
224	и истории	5	2
225	она была	2	2
226	одна из	2	2
227	ничего не	2	2
