N	3gram	Losev_Prob_1	Psycholo
1	в том что	5	9
2	и т д	10	8
3	на то что	8	8
4	не может быть	2	8
5	в самом деле	2	7
6	о том что	5	7
7	во всяком случае	3	6
8	с другой стороны	3	5
9	подобно тому как	2	5
10	для того чтобы	8	5
11	так же как	2	4
12	мы никогда не	3	4
13	указывает на то	3	3
14	точно так же	4	3
15	в конце концов	4	3
16	до сих пор	3	3
17	не только не	3	3
18	и в самом	2	2
19	хотя и не	2	2
20	никогда не может	2	2
21	по этому поводу	3	2
22	более или менее	3	2
23	в таком случае	6	2
24	с точки зрения	3	2
25	то же самое	9	2
26	тем не менее	18	2
27	и если мы	3	2
28	сама по себе	4	2
29	случае не может	2	2
30	в настоящее время	3	2
31	так как они	2	2
32	в этом смысле	6	2
33	то есть в	4	2
34	на самом деле	4	2
35	тех или иных	2	2
