N	2gram	Bakhtin_Fr_4	Psycholo
1	и в	29	38
2	то что	4	35
3	все время	3	30
4	в том	7	25
5	может быть	2	19
6	точки зрения	4	16
7	в ней	3	15
8	то есть	21	15
9	том что	3	14
10	как бы	8	14
11	в этой	13	13
12	и мы	2	13
13	в этом	11	13
14	мы видим	3	12
15	не только	10	12
16	мы увидим	2	12
17	таким образом	20	12
18	что он	4	11
19	что это	5	10
20	в сущности	6	10
21	то же	10	10
22	и не	16	10
23	и все	13	10
24	с точки	2	9
25	того чтобы	3	9
26	все же	3	8
27	перед нами	4	8
28	вовсе не	9	8
29	как и	12	8
30	и как	3	8
31	как раз	2	8
32	из этого	2	8
33	но только	2	8
34	для того	3	8
35	и то	2	8
36	и это	2	8
37	с другой	4	7
38	в ее	3	7
39	мы можем	3	7
40	не может	2	7
41	что у	3	7
42	как мы	10	7
43	мы уже	10	7
44	из них	6	6
45	и здесь	3	6
46	к тому	2	6
47	мы видели	7	6
48	с самого	3	6
49	один из	4	6
50	в котором	2	6
51	он не	3	6
52	с одной	2	6
53	так как	7	6
54	и его	8	6
55	и на	11	6
56	самого начала	3	6
57	о том	2	6
58	там где	3	6
59	в своем	3	5
60	на этом	2	5
61	одной стороны	2	5
62	в своей	5	5
63	но и	9	5
64	другой стороны	3	5
65	в той	2	5
66	или в	2	5
67	в его	8	5
68	так сказать	2	5
69	в которой	4	5
70	никогда не	2	4
71	что они	2	4
72	по своему	4	4
73	при этом	3	4
74	и для	2	4
75	конечно не	4	4
76	не мог	2	4
77	в нем	5	4
78	раз в	2	4
79	как в	2	4
80	все эти	9	4
81	того что	3	4
82	и даже	3	4
83	в своих	2	4
84	сказать что	5	4
85	у него	5	4
86	только в	2	4
87	как будто	2	4
88	в себе	3	4
89	в виду	2	4
90	место в	2	3
91	как на	2	3
92	в них	7	3
93	только для	4	3
94	к этому	2	3
95	и к	2	3
96	ни в	2	3
97	он был	2	3
98	но это	4	3
99	весь этот	2	3
100	того же	5	3
101	тот же	3	3
102	в один	2	3
103	ссылается на	2	3
104	и о	5	3
105	в основе	2	3
106	уже говорили	5	3
107	все это	4	3
108	бы не	2	3
109	одновременно и	3	3
110	где он	2	3
111	тем что	4	3
112	далеко не	5	3
113	в то	10	3
114	его в	9	3
115	здесь не	3	3
116	в плане	4	3
117	но в	12	3
118	это был	2	2
119	но они	4	2
120	всех этих	3	2
121	что образ	3	2
122	и другие	2	2
123	в этих	2	2
124	все они	5	2
125	и одновременно	4	2
126	на самом	4	2
127	о мире	2	2
128	уже давно	2	2
129	до конца	5	2
130	уже не	2	2
131	такой же	3	2
132	у них	3	2
133	есть в	2	2
134	что здесь	3	2
135	то время	2	2
136	здесь в	6	2
137	животных и	3	2
138	слов и	3	2
139	они не	2	2
140	образом и	3	2
141	но он	6	2
142	по преимуществу	3	2
143	и дает	2	2
144	на их	2	2
145	все те	2	2
146	но мы	2	2
147	с ее	3	2
148	со стороны	2	2
149	так же	7	2
150	в одной	2	2
151	еще и	7	2
152	и вот	3	2
153	и наконец	2	2
154	и по	5	2
155	той же	3	2
156	в качестве	3	2
157	здесь с	2	2
158	в конце	9	2
159	их в	2	2
160	это же	2	2
161	как к	3	2
162	но как	3	2
163	его к	2	2
164	мы слышим	4	2
165	с ним	2	2
166	в эту	3	2
