N	2gram	Kanaev_Sov_1	Analitik
1	в этом	7	18
2	и в	7	16
3	не только	4	16
4	как и	6	14
5	в том	4	12
6	и не	6	12
7	могут быть	2	10
8	как бы	4	10
9	при этом	3	10
10	а не	3	10
11	и даже	2	9
12	в этой	3	9
13	ничего не	6	9
14	отнюдь не	3	8
15	в целом	4	8
16	в себе	3	7
17	в самом	2	6
18	говорить о	2	6
19	может быть	12	6
20	но в	3	6
21	и к	3	5
22	с одной	2	5
23	не менее	2	4
24	в конце	3	4
25	у него	2	4
26	уже не	2	4
27	не в	3	4
28	в один	2	4
29	все это	3	4
30	не может	17	4
31	на этом	2	4
32	то же	3	4
33	он в	3	4
34	точки зрения	12	4
35	в нашем	2	3
36	прежде всего	5	3
37	или иной	2	3
38	тем не	2	3
39	было бы	3	3
40	на его	2	3
41	на две	3	3
42	из них	4	3
43	приводит к	2	3
44	а в	4	3
45	как мы	2	3
46	в результате	6	3
47	и т.д	3	3
48	и все	3	3
49	при таком	3	2
50	в одном	3	2
51	что все	2	2
52	отличие от	2	2
53	ведь это	3	2
54	что в	2	2
55	еще не	3	2
56	такого рода	2	2
57	о жизни	2	2
58	на этой	3	2
59	в отличие	2	2
60	вместе с	4	2
61	что она	3	2
62	таким образом	11	2
63	той же	2	2
64	на котором	2	2
65	еще более	2	2
66	на этот	2	2
67	с точки	5	2
68	роль в	2	2
69	в таком	2	2
70	в два	3	2
71	и во	2	2
72	в его	2	2
