N	3gram	Vinokur_Vv_1	Narrotol
1	в том что	12	8
2	с одной стороны	4	7
3	о том что	12	6
4	по отношению к	4	6
5	в отличие от	3	5
6	не может быть	8	5
7	можно сказать что	3	4
8	в данном случае	4	4
9	но все же	3	4
10	с другой стороны	5	4
11	то же время	5	3
12	состоит в том	2	3
13	в этом отношении	3	3
14	в то же	5	3
15	тем не менее	8	3
16	так или иначе	4	2
17	не что иное	4	2
18	в связи с	2	2
19	что иное как	4	2
20	в первом случае	2	2
21	не только в	4	2
22	с точки зрения	2	2
23	в известном смысле	3	2
24	точно так же	2	2
25	можно было бы	3	2
