N	2gram	Berdyaev_M_2	Vvedenie
1	т е	4	35
2	и в	46	32
3	в том	3	31
4	в этом	20	30
5	может быть	21	26
6	том что	4	26
7	не только	18	22
8	для того	5	21
9	того чтобы	4	20
10	также и	4	18
11	то что	5	16
12	потому что	12	15
13	так как	8	15
14	не может	15	14
15	в самом	5	13
16	в нем	22	13
17	о том	3	13
18	того что	6	12
19	и не	18	12
20	в его	5	12
21	только в	3	12
22	что в	4	10
23	но в	10	9
24	между тем	2	9
25	по себе	2	9
26	то же	5	9
27	это не	5	8
28	не в	9	8
29	прежде всего	12	7
30	вопрос о	6	7
31	точки зрения	2	7
32	можно было	2	7
33	до сих	3	6
34	смысле слова	3	6
35	один из	5	6
36	но и	15	6
37	его в	3	6
38	как он	3	6
39	как и	13	6
40	сих пор	3	6
41	хотя бы	7	6
42	и его	5	6
43	тем что	3	6
44	и это	5	6
45	уже в	2	5
46	иное как	3	5
47	так что	2	5
48	она есть	2	5
49	как бы	8	5
50	сказать что	3	5
51	в них	3	5
52	есть и	3	5
53	на почве	3	5
54	не есть	13	5
55	вместе с	2	5
56	а не	13	5
57	что не	2	5
58	науки и	2	4
59	связана с	7	4
60	в каждом	3	4
61	этот процесс	2	4
62	по отношению	2	4
63	и что	2	4
64	не имеет	4	4
65	а в	2	4
66	что иное	3	4
67	е в	2	4
68	от этого	2	4
69	в разных	2	4
70	что он	7	4
71	не что	3	4
72	отношению к	2	4
73	в своей	5	4
74	уже не	4	4
75	и для	7	4
76	той же	3	4
77	в себе	10	4
78	только с	3	4
79	совсем не	5	3
80	он сам	6	3
81	что это	6	3
82	и есть	8	3
83	в этих	2	3
84	в конце	5	3
85	бы и	5	3
86	к тому	5	3
87	да и	2	3
88	в этой	7	3
89	на этом	2	3
90	до конца	4	3
91	такого рода	2	3
92	хотя и	2	3
93	в ней	11	3
94	к нему	2	3
95	отношение к	8	3
96	что она	5	3
97	в своем	8	3
98	и других	2	3
99	и вот	5	3
100	так же	6	3
101	и на	3	3
102	тогда когда	2	3
103	есть еще	2	3
104	если бы	3	3
105	и к	7	3
106	связи с	2	3
107	в чем	3	3
108	чем в	2	3
109	в сущности	2	3
110	должен быть	4	3
111	что и	4	3
112	что же	2	3
113	но с	2	3
114	вот почему	2	3
115	в центре	2	3
116	как будто	2	3
117	не до	2	2
118	все время	2	2
119	же как	3	2
120	никогда не	18	2
121	тому что	4	2
122	для этого	4	2
123	в отношении	5	2
124	или иной	2	2
125	это есть	2	2
126	но это	8	2
127	народа как	2	2
128	и той	2	2
129	не к	2	2
130	от того	3	2
131	не было	11	2
132	стоит в	2	2
133	не мог	3	2
134	должно быть	2	2
135	и те	2	2
136	в более	2	2
137	и с	3	2
138	и здесь	6	2
139	бы в	2	2
140	и должно	3	2
141	так и	4	2
142	не существует	3	2
143	есть не	5	2
144	у нас	11	2
145	во всех	2	2
146	жизни и	6	2
147	себе и	2	2
148	не бывает	3	2
149	быть и	2	2
150	и тогда	3	2
151	того как	3	2
152	одной и	2	2
153	у них	4	2
154	есть лишь	17	2
155	тому как	2	2
156	подобно тому	2	2
157	ничего не	2	2
158	что нет	3	2
