N	2gram	Nazirov_Tv_2	slovoVRo
1	в романе	15	46
2	и в	20	39
3	может быть	8	37
4	и т	13	35
5	и его	9	33
6	т п	2	33
7	то есть	5	26
8	не только	13	24
9	и не	9	22
10	но и	8	21
11	не может	7	20
12	в нем	3	19
13	все это	6	16
14	в этом	8	16
15	так и	6	15
16	а не	6	14
17	как в	4	13
18	отличие от	2	13
19	в процессе	2	13
20	в отличие	2	12
21	в истории	2	11
22	вовсе не	2	10
23	не в	4	9
24	и с	8	9
25	прежде всего	8	8
26	себя в	2	8
27	таким образом	10	8
28	при этом	8	7
29	для него	3	7
30	еще не	5	7
31	в его	10	7
32	как бы	11	7
33	никогда не	11	7
34	и потому	4	7
35	и даже	5	7
36	могут быть	2	7
37	с ним	3	7
38	все же	5	6
39	как и	6	6
40	но не	5	6
41	все эти	4	6
42	так сказать	2	6
43	но в	4	6
44	в быту	2	5
45	с другой	2	5
46	это не	7	5
47	романа и	3	5
48	том что	4	5
49	только в	2	5
50	в том	8	5
51	например в	5	5
52	один из	3	5
53	человека в	3	5
54	уже не	3	5
55	и наконец	2	5
56	с ними	2	5
57	героя и	2	5
58	в плане	3	5
59	не менее	2	4
60	и др	3	4
61	отношению к	3	4
62	же время	7	4
63	одна из	3	4
64	в основном	6	4
65	по отношению	3	4
66	то же	7	4
67	и других	2	4
68	в таком	3	4
69	а в	4	4
70	с другими	2	4
71	и на	5	4
72	в основе	2	4
73	xix века	7	4
74	в то	10	4
75	его в	3	4
76	так как	3	4
77	в роман	2	3
78	что в	7	3
79	точку зрения	2	3
80	не столько	2	3
81	и от	4	3
82	человека и	3	3
83	в романах	13	3
84	в бытовой	6	3
85	но это	5	3
86	у него	6	3
87	в свете	3	3
88	героя в	4	3
89	или даже	2	3
90	рядом с	2	3
91	между тем	3	3
92	говорить о	2	3
93	в чем	4	3
94	во всяком	2	3
95	действующих лиц	2	2
96	уже в	2	2
97	не было	2	2
98	но прежде	2	2
99	ни к	2	2
100	хотя и	4	2
101	включает в	2	2
102	его и	2	2
103	жизни в	3	2
104	в себе	3	2
105	что он	6	2
106	в дальнейшем	4	2
107	более того	2	2
108	х годов	3	2
109	как о	2	2
110	проникает в	2	2
111	роман и	2	2
112	всяком случае	2	2
113	точка зрения	2	2
114	сих пор	3	2
115	на его	4	2
116	то что	3	2
117	в свой	2	2
118	вместе с	3	2
119	на него	2	2
120	в их	3	2
121	так в	2	2
122	т д	11	2
123	особенно в	2	2
124	в виде	2	2
125	именно в	6	2
126	но эта	2	2
127	мы не	4	2
128	одним из	3	2
129	роль в	2	2
130	он не	3	2
131	о том	5	2
132	только с	2	2
133	в одном	2	2
134	до сих	3	2
