N	2gram	Kanaev_Sov_1	Dialekti
1	и не	6	30
2	может быть	12	20
3	и в	7	19
4	не только	4	19
5	а не	3	16
6	в себе	3	15
7	что она	3	14
8	и даже	2	14
9	в том	4	14
10	как бы	4	14
11	так как	4	14
12	то же	3	12
13	точки зрения	12	12
14	и все	3	12
15	что это	2	10
16	как и	6	10
17	в нем	3	10
18	это не	4	10
19	времени и	2	9
20	не может	17	9
21	прежде всего	5	8
22	с точки	5	8
23	не в	3	8
24	в этом	7	8
25	и к	3	7
26	совершенно не	2	7
27	что в	2	7
28	отнюдь не	3	6
29	жизни и	4	6
30	и пр	2	5
31	в самом	2	5
32	и потому	3	5
33	и что	2	5
34	говорить о	2	5
35	уже в	3	4
36	может не	3	4
37	и есть	2	4
38	ясно что	3	4
39	в одном	3	4
40	не могут	2	4
41	же это	4	4
42	все же	3	4
43	при этом	3	4
44	еще не	3	4
45	быть и	2	4
46	все это	3	4
47	таким образом	11	4
48	самом деле	2	4
49	и по	2	4
50	а в	4	4
51	в таком	2	4
52	могут быть	2	4
53	как он	3	4
54	не менее	2	3
55	же мы	2	3
56	вопрос о	4	3
57	ведь это	3	3
58	как мы	2	3
59	уже не	2	3
60	в этой	3	3
61	было бы	3	3
62	и мы	3	3
63	из них	4	3
64	с этим	2	3
65	что такое	2	3
66	может иметь	2	3
67	в один	2	3
68	это за	2	3
69	когда мы	3	3
70	ничего не	6	3
71	что же	5	2
72	самого начала	3	2
73	в зависимости	4	2
74	в конце	3	2
75	и пространства	2	2
76	в системе	3	2
77	он может	3	2
78	но мы	3	2
79	если мы	4	2
80	вне времени	2	2
81	тем не	2	2
82	с самого	3	2
83	но все	2	2
84	мы видим	2	2
85	зависимости от	4	2
86	как известно	2	2
87	на его	2	2
88	всяком случае	2	2
89	в некоторых	2	2
90	в каждом	8	2
91	с одной	2	2
92	и они	2	2
93	в науке	2	2
94	тем же	2	2
95	в результате	6	2
96	их в	4	2
97	в виде	2	2
98	мы получаем	3	2
99	мы должны	4	2
100	же самое	2	2
101	во всяком	2	2
102	все эти	5	2
103	представлять себе	2	2
104	в которой	2	2
105	в области	3	2
106	но в	3	2
107	вместе с	4	2
108	на этом	2	2
