N	2gram	Berdyaev_V_1	TeoriaLi
1	в мире	5	24
2	не только	2	18
3	и не	20	16
4	а в	2	14
5	и в	16	13
6	так и	4	12
7	в этом	4	11
8	в том	3	11
9	но не	2	10
10	а не	7	10
11	в его	4	9
12	что в	3	8
13	но и	5	8
14	том что	2	7
15	только в	2	7
16	с его	3	6
17	еще не	8	6
18	лишь в	3	6
19	как бы	5	6
20	но в	3	6
21	как и	4	5
22	не в	3	5
23	в нем	4	5
24	уже не	2	5
25	между тем	2	5
26	личности и	3	4
27	ни в	3	4
28	в своей	3	4
29	то что	9	4
30	в форме	2	4
31	по пути	5	4
32	хотя и	5	4
33	говорить о	4	4
34	никогда не	3	3
35	в этих	3	3
36	прежде всего	2	3
37	для него	2	3
38	того что	5	3
39	и сам	2	3
40	и потому	7	3
41	а с	2	3
42	мира в	2	3
43	и что	3	3
44	и то	2	3
45	потому что	4	3
46	все эти	3	3
47	во мне	4	2
48	ведет по	2	2
49	могут быть	2	2
50	в конце	3	2
51	это не	2	2
52	что он	4	2
53	к тому	3	2
54	от свободы	2	2
55	что они	7	2
56	вслед за	2	2
57	не с	2	2
58	во всех	3	2
59	и для	3	2
60	в себя	2	2
61	их в	3	2
62	на себя	5	2
63	и это	2	2
64	в чем	3	2
