N	2gram	Propp_Russ_2	Literetu
1	тогда как	2	17
2	и в	29	16
3	при этом	6	15
4	не только	10	14
5	но и	8	14
6	в этом	11	14
7	а не	4	12
8	то что	5	12
9	может быть	13	12
10	в том	22	12
11	не в	4	10
12	то же	4	9
13	того что	3	9
14	в то	2	9
15	том что	22	8
16	не может	5	8
17	в этой	3	8
18	как бы	18	8
19	в своей	2	7
20	состоит в	15	6
21	с другой	2	6
22	еще не	6	6
23	о том	9	6
24	в качестве	3	5
25	это не	5	5
26	в году	3	5
27	в ее	3	5
28	как и	11	5
29	вместе с	6	5
30	как в	7	5
31	а именно	3	5
32	в отличие	3	5
33	а в	9	5
34	именно в	4	5
35	отличие от	3	5
36	но не	5	4
37	никогда не	2	4
38	по существу	4	4
39	до конца	3	4
40	одной стороны	2	4
41	и для	2	4
42	одним из	2	4
43	из них	4	4
44	в природе	3	4
45	данном случае	7	4
46	жизни в	2	4
47	с одной	2	4
48	а также	4	4
49	должно быть	2	4
50	в данном	6	4
51	одно из	2	4
52	прежде всего	2	3
53	в г	2	3
54	а затем	4	3
55	и как	2	3
56	о чем	4	3
57	совершенно не	2	3
58	еще в	2	3
59	уже не	4	3
60	тому как	3	3
61	потому что	5	3
62	там где	2	3
63	как это	4	3
64	но в	5	3
65	между тем	3	3
66	что в	22	2
67	не менее	2	2
68	песни и	4	2
69	с этой	2	2
70	к этому	5	2
71	не всегда	3	2
72	вопрос о	4	2
73	и ее	2	2
74	же в	6	2
75	у нас	4	2
76	и при	2	2
77	связи с	2	2
78	так чтобы	2	2
79	а на	9	2
80	было бы	3	2
81	во всех	3	2
82	том чтобы	2	2
83	нас к	3	2
84	к жизни	5	2
85	один из	2	2
86	не с	2	2
87	что и	2	2
88	все же	2	2
89	с ней	5	2
90	в самый	2	2
91	как мы	3	2
92	в советской	2	2
93	так же	4	2
94	как например	3	2
95	а и	2	2
96	того чтобы	6	2
97	для того	6	2
98	право на	2	2
99	в своих	2	2
100	и на	6	2
101	и с	10	2
102	быть только	2	2
103	тем что	3	2
104	подобно тому	3	2
105	далеко не	4	2
106	на себя	2	2
107	представляет собой	2	2
108	за ним	3	2
109	его в	8	2
110	ее в	8	2
