N	2gram	Propp_Russ_2	DiskursI
1	при этом	6	17
2	состоит в	15	16
3	в качестве	3	16
4	и в	29	16
5	может быть	13	16
6	как и	11	16
7	в этом	11	16
8	а не	4	14
9	в отличие	3	12
10	отличие от	3	12
11	представляет собой	2	11
12	но и	8	11
13	тогда как	2	11
14	но в	5	11
15	том что	22	10
16	не только	10	10
17	не может	5	9
18	в том	22	8
19	а также	4	8
20	как в	7	8
21	не менее	2	7
22	прежде всего	2	7
23	но не	5	7
24	в данном	6	7
25	еще не	6	6
26	все же	2	6
27	в своей	2	6
28	данном случае	7	6
29	то же	4	6
30	в своих	2	6
31	а с	2	5
32	что в	22	5
33	с другой	2	5
34	то что	5	5
35	и на	6	5
36	в то	2	5
37	к этому	5	4
38	одной стороны	2	4
39	как бы	18	4
40	с одной	2	4
41	потому что	5	4
42	одно из	2	4
43	в этой	3	4
44	и то	2	4
45	о том	9	4
46	жизни в	2	3
47	могут быть	2	3
48	в этих	3	3
49	в них	4	3
50	это не	5	3
51	не столько	2	3
52	из этих	2	3
53	и все	4	3
54	уже не	4	3
55	и как	2	3
56	не в	4	3
57	здесь в	2	3
58	еще в	2	3
59	в котором	3	3
60	к жизни	5	3
61	из них	4	3
62	но она	2	3
63	и ее	2	3
64	не было	2	3
65	все эти	3	3
66	его в	8	3
67	же как	4	2
68	никогда не	2	2
69	это в	2	2
70	как уже	2	2
71	этом случае	6	2
72	что на	2	2
73	на первый	3	2
74	а к	2	2
75	есть в	2	2
76	о чем	4	2
77	живет в	3	2
78	далеко не	4	2
79	не с	2	2
80	что и	2	2
81	не к	2	2
82	вместе с	6	2
83	с ней	5	2
84	именно в	4	2
85	там же	12	2
86	все это	10	2
87	и для	2	2
88	должно быть	2	2
89	а в	9	2
90	тому как	3	2
91	их в	4	2
92	пока еще	2	2
93	и с	10	2
94	подобно тому	3	2
95	мы имеем	6	2
96	между тем	3	2
