N	2gram	Bakhtin_fo_1	VerxiiNi
1	и в	50	26
2	таким образом	11	22
3	с тем	3	18
4	вместе с	3	15
5	в этом	25	15
6	точки зрения	5	13
7	как бы	2	12
8	в том	9	11
9	может быть	11	10
10	не только	9	10
11	и с	4	10
12	связи с	6	9
13	что в	5	9
14	но и	8	9
15	так как	6	9
16	с другой	2	8
17	но не	5	8
18	и не	14	8
19	и у	5	8
20	том что	4	7
21	но все	5	7
22	одной стороны	2	7
23	то что	6	7
24	с одной	3	7
25	потому что	4	7
26	но в	10	7
27	в конце	9	6
28	к тому	3	6
29	и потому	3	6
30	того же	8	6
31	что и	3	6
32	все же	6	6
33	так и	12	6
34	все это	4	6
35	в отношении	3	6
36	все эти	9	6
37	с точки	2	6
38	во всяком	3	6
39	в себе	3	6
40	мы должны	2	6
41	том числе	4	5
42	и к	2	5
43	тому же	2	5
44	отношение к	2	5
45	до сих	3	5
46	одной из	3	5
47	в его	13	5
48	никогда не	2	5
49	к жизни	2	5
50	сих пор	3	5
51	так же	6	5
52	лишь в	6	5
53	а не	3	5
54	того чтобы	5	5
55	для того	5	5
56	не имеет	4	5
57	и для	4	5
58	в этих	3	4
59	попадает в	2	4
60	что все	2	4
61	в нем	24	4
62	числе и	2	4
63	в самом	8	4
64	в котором	4	4
65	не может	6	4
66	а в	3	4
67	то же	11	4
68	в течение	2	4
69	и по	2	4
70	с другими	3	4
71	в которых	2	4
72	он не	5	4
73	в то	9	4
74	только в	4	4
75	то есть	33	4
76	далеко не	2	4
77	же как	2	3
78	и другие	5	3
79	если бы	5	3
80	но по	2	3
81	хотя бы	2	3
82	к этому	3	3
83	ясно что	2	3
84	для него	2	3
85	с самого	2	3
86	и как	10	3
87	в своем	4	3
88	друг за	2	3
89	в качестве	3	3
90	и нет	2	3
91	к ним	2	3
92	к концу	3	3
93	отношению к	5	3
94	оказывается что	2	3
95	в связи	5	3
96	при этом	3	3
97	уже не	2	3
98	в значительной	2	3
99	того что	2	3
100	и даже	2	3
101	в которой	2	3
102	и те	3	3
103	у них	2	3
104	в таком	3	3
105	в результате	6	3
106	в других	9	3
107	в одном	3	3
108	уже в	2	2
109	не могут	3	2
110	самого начала	2	2
111	с его	9	2
112	именно в	3	2
113	одно из	3	2
114	в них	4	2
115	сравнению с	2	2
116	не как	2	2
117	тогда когда	2	2
118	в образе	5	2
119	прежде всего	15	2
120	в свою	2	2
121	или иной	2	2
122	а также	2	2
123	жизни по	2	2
124	его от	2	2
125	по существу	12	2
126	в начале	3	2
127	же время	9	2
128	что мы	2	2
129	еще не	5	2
130	со всеми	3	2
131	героев и	3	2
132	конечно не	4	2
133	для всех	2	2
134	выход из	2	2
135	той или	2	2
136	и является	2	2
137	иной характер	2	2
138	и проч	4	2
139	стадии развития	2	2
140	не могло	5	2
141	один из	3	2
142	не к	2	2
143	жизни и	8	2
144	во всех	6	2
145	к другу	2	2
146	в процессе	4	2
147	быть и	2	2
148	в разных	5	2
149	не было	7	2
150	этом отношении	3	2
151	те же	2	2
152	можно только	2	2
153	в самой	2	2
154	в одно	3	2
155	между этими	4	2
156	друг на	2	2
157	и на	8	2
158	можно назвать	2	2
159	сказать что	3	2
160	не в	5	2
161	совершенно иной	3	2
162	на друга	2	2
163	по сравнению	2	2
164	и все	6	2
165	и это	4	2
166	этими двумя	3	2
167	в виду	3	2
