N	2gram	Ircho_Kome_1	Problema
1	в его	5	43
2	и не	8	42
3	и в	22	38
4	не может	2	27
5	может быть	9	26
6	по отношению	3	21
7	отношению к	3	19
8	и с	3	17
9	и его	8	16
10	в нем	4	15
11	в этом	3	15
12	и т	9	14
13	независимо от	2	13
14	прежде всего	5	13
15	только в	3	13
16	т п	5	13
17	за пределы	2	12
18	но не	2	12
19	ни в	6	11
20	в области	2	11
21	к нему	2	10
22	отношение к	3	10
23	в их	4	10
24	таким образом	8	10
25	но и	11	9
26	его в	3	9
27	не только	10	9
28	место в	3	8
29	в том	11	8
30	и как	3	8
31	точки зрения	4	8
32	было бы	2	8
33	то что	2	8
34	что в	6	7
35	с другой	5	7
36	не в	6	7
37	в самом	2	7
38	между тем	5	7
39	как и	9	7
40	еще не	2	7
41	как мы	4	7
42	не к	2	6
43	а в	6	6
44	все же	3	6
45	мы можем	4	6
46	ничего не	3	6
47	то же	6	5
48	при этом	5	5
49	в них	3	5
50	и о	3	5
51	так и	5	5
52	тем как	2	5
53	могут быть	3	5
54	отличие от	2	5
55	не менее	3	4
56	другой стороны	5	4
57	в форме	2	4
58	которых мы	2	4
59	в других	2	4
60	в более	3	4
61	в то	10	4
62	о том	8	4
63	к которому	3	4
64	но в	4	4
65	относится к	2	4
66	как в	5	4
67	в себе	2	4
68	то ни	2	3
69	в тех	3	3
70	тем не	2	3
71	да и	3	3
72	но это	2	3
73	же время	4	3
74	одной стороны	3	3
75	несмотря на	4	3
76	хотя и	3	3
77	и тем	2	3
78	в целом	3	3
79	все это	5	3
80	с одной	3	3
81	и даже	5	3
82	и на	3	3
83	ни было	2	3
84	и все	3	3
85	ясно что	4	3
86	том что	12	3
87	бы то	2	3
88	все что	2	3
89	одной из	3	3
90	он не	3	3
91	на него	4	3
92	едва ли	7	3
93	на этом	2	2
94	в форму	2	2
95	в частности	3	2
96	столь же	2	2
97	и мир	2	2
98	на то	3	2
99	от них	2	2
100	в свою	2	2
101	по поводу	4	2
102	и у	3	2
103	в котором	4	2
104	можно сделать	3	2
105	этом отношении	3	2
106	и других	7	2
107	здесь мы	3	2
108	и здесь	2	2
109	в своих	2	2
110	не следует	2	2
111	только при	2	2
112	в начале	3	2
113	в истории	5	2
114	же самое	2	2
115	как это	3	2
116	и во	2	2
117	к этому	4	2
118	вовсе не	2	2
119	о которых	5	2
120	что он	6	2
121	у нас	3	2
122	а к	2	2
123	одна из	2	2
124	здесь в	3	2
125	что и	4	2
126	в себя	2	2
127	из которых	2	2
128	или в	2	2
129	тем что	4	2
130	в виде	3	2
131	и ее	3	2
132	в другом	4	2
133	в чем	3	2
