N	3gram	Losev_Prob_4	Myshleni
1	для того чтобы	2	14
2	в том что	8	11
3	с точки зрения	11	9
4	заключается в том	2	5
5	потому что он	2	5
6	то же самое	6	4
7	в то время	2	4
8	о том что	3	4
9	сама по себе	2	4
10	уже по одному	2	4
11	то время как	2	4
12	это значит что	7	4
13	можно было бы	4	3
14	не только не	4	3
15	по одному этому	2	3
16	и тем более	2	2
17	ничего общего с	2	2
18	как показывает исследование	2	2
19	то и другое	3	2
20	с другой стороны	6	2
21	только в пределах	2	2
22	и в частности	2	2
23	в зависимости от	3	2
24	вместе с тем	3	2
