N	3gram	Vinokur_St_1	Myslijsy
1	в том что	17	16
2	то же время	4	5
3	по крайней мере	2	5
4	в то же	4	5
5	не в том	2	5
6	по отношению к	3	5
7	с другой стороны	6	4
8	но и в	2	4
9	в то время	2	4
10	не только в	4	4
11	и тем же	2	3
12	в том смысле	2	3
13	в том как	3	3
14	тем не менее	2	3
15	до сих пор	7	3
16	одним и тем	2	3
17	и т д	21	3
18	с одной стороны	2	3
19	не может быть	5	3
20	что и в	4	3
21	только в том	3	3
22	для того чтобы	10	3
23	и в самом	3	2
24	в этом отношении	7	2
25	и в том	2	2
26	так и в	4	2
27	как и в	2	2
28	и т п	9	2
