N	2gram	Vygotskiy__3	Dialekti
1	не есть	3	40
2	и не	10	30
3	по себе	7	25
4	и в	25	18
5	может быть	13	17
6	точки зрения	6	17
7	в нем	2	16
8	ни в	9	15
9	так что	2	15
10	значит что	4	14
11	потому что	6	14
12	что в	17	13
13	то что	15	13
14	не только	6	13
15	если бы	5	12
16	было бы	10	12
17	и что	10	12
18	в этом	14	12
19	не может	6	12
20	что это	5	11
21	что он	6	11
22	как бы	10	11
23	все это	6	11
24	это значит	4	11
25	в себе	2	11
26	так как	12	11
27	прежде всего	4	10
28	то же	2	10
29	сказать что	4	10
30	никогда не	4	9
31	отнюдь не	4	9
32	в том	23	9
33	так и	5	9
34	том что	20	9
35	и то	2	9
36	ясно что	2	8
37	но это	5	8
38	в каком	2	8
39	и как	5	7
40	то в	3	7
41	но и	4	7
42	что она	5	7
43	той или	2	7
44	как она	3	7
45	с другой	6	6
46	не в	6	6
47	в то	4	6
48	ни на	2	6
49	в чем	2	6
50	с ним	4	6
51	в этих	2	5
52	в своем	4	5
53	на то	4	5
54	есть и	2	5
55	все же	6	5
56	в отношении	6	5
57	что оно	4	5
58	а в	4	5
59	само по	2	5
60	можно было	6	5
61	мы должны	6	5
62	об отношении	2	5
63	к тому	4	4
64	во всяком	4	4
65	это мы	2	4
66	об этом	2	4
67	мы видим	3	4
68	но не	6	4
69	хотя и	2	4
70	в котором	3	4
71	так же	17	4
72	другой стороны	3	4
73	как мы	8	4
74	мы можем	7	4
75	ничего общего	3	4
76	о том	5	4
77	как он	3	4
78	как это	7	4
79	или иная	3	3
80	всех этих	2	3
81	тому что	2	3
82	в них	2	3
83	этом смысле	2	3
84	не является	8	3
85	или иной	3	3
86	что и	10	3
87	только потому	2	3
88	что они	10	3
89	он не	4	3
90	в его	15	3
91	и потому	2	3
92	если в	3	3
93	один из	6	3
94	но только	3	3
95	указывает на	2	3
96	или менее	3	3
97	в самом	3	3
98	но все	2	3
99	только что	2	3
100	должно быть	2	3
101	в основе	16	3
102	могут быть	5	3
103	только в	10	3
104	и все	4	3
105	бы в	2	3
106	та или	3	3
107	от этого	6	3
108	на этом	3	2
109	не менее	6	2
110	но они	2	2
111	того что	10	2
112	же как	6	2
113	именно в	5	2
114	в виде	3	2
115	в частности	4	2
116	были бы	3	2
117	в качестве	12	2
118	сравнению с	3	2
119	как в	9	2
120	с этой	3	2
121	не как	3	2
122	эти последние	2	2
123	и от	2	2
124	из этих	4	2
125	и другого	2	2
126	с другими	2	2
127	к этому	3	2
128	этой точки	2	2
129	со всей	2	2
130	в мире	2	2
131	ни было	2	2
132	как и	15	2
133	мы и	2	2
134	с той	2	2
135	является не	2	2
136	и другое	5	2
137	связанные с	2	2
138	для него	5	2
139	еще не	4	2
140	одной стороны	5	2
141	и может	2	2
142	мы увидим	4	2
143	для того	7	2
144	в корне	2	2
145	вслед за	3	2
146	по сравнению	4	2
147	в него	3	2
148	всяком случае	4	2
149	мог бы	4	2
150	из них	4	2
151	в своей	2	2
152	и их	3	2
153	с ней	3	2
154	для этого	2	2
155	и эта	2	2
156	с этим	4	2
157	а с	3	2
158	этом отношении	3	2
159	с одной	5	2
160	ли оно	5	2
161	все эти	7	2
162	мы имеем	4	2
163	из того	2	2
164	если мы	3	2
165	уже не	2	2
166	и у	6	2
167	и для	2	2
168	отличается от	3	2
169	с ними	3	2
170	предметы в	2	2
171	то и	4	2
172	в которых	3	2
173	но как	3	2
174	во всем	3	2
175	и это	4	2
176	что как	2	2
177	которая не	4	2
178	на деле	3	2
179	как с	4	2
180	время как	4	2
