N	2gram	Vinokur_Vv_1	Dialekti
1	не есть	4	47
2	т е	38	30
3	и не	13	30
4	может быть	24	20
5	и в	27	19
6	не только	21	19
7	по себе	9	18
8	и т	43	17
9	а не	3	16
10	т д	37	15
11	в себе	4	15
12	то что	17	14
13	что она	3	14
14	и даже	5	14
15	в том	31	14
16	как бы	5	14
17	так как	13	14
18	потому что	14	14
19	вовсе не	6	13
20	но и	5	12
21	то же	8	12
22	не просто	4	12
23	точки зрения	7	12
24	что это	3	10
25	как и	5	10
26	и как	9	10
27	в нем	13	10
28	том что	26	10
29	это не	8	10
30	сказать что	5	10
31	времени и	4	9
32	никогда не	3	9
33	по крайней	4	9
34	крайней мере	4	9
35	она есть	5	9
36	не может	13	9
37	прежде всего	8	8
38	с точки	2	8
39	не в	8	8
40	это есть	2	8
41	в этом	34	8
42	в своей	4	8
43	сама по	3	7
44	есть не	3	7
45	как это	5	7
46	но что	3	7
47	что в	11	7
48	должно быть	2	7
49	и то	5	7
50	как будто	3	7
51	так что	5	7
52	что он	4	6
53	что не	5	6
54	да и	4	6
55	в то	5	6
56	но не	7	6
57	есть и	4	6
58	того что	12	6
59	жизни и	2	6
60	и вообще	3	6
61	тогда когда	3	6
62	должна быть	2	5
63	с другой	8	5
64	же время	5	5
65	в силу	3	5
66	по своему	5	5
67	можно сказать	3	5
68	в самом	12	5
69	что и	3	5
70	и это	6	5
71	а именно	6	5
72	как раз	4	5
73	иной раз	2	5
74	и что	4	5
75	только что	4	5
76	и его	5	5
77	но как	2	5
78	говорить о	3	5
79	только в	13	5
80	о том	15	5
81	и с	2	5
82	в виду	4	5
83	уже в	5	4
84	нисколько не	3	4
85	независимо от	3	4
86	и есть	3	4
87	в своем	3	4
88	ясно что	9	4
89	в одном	4	4
90	не могут	5	4
91	быть в	4	4
92	же это	2	4
93	в ее	11	4
94	все же	8	4
95	при этом	3	4
96	еще не	4	4
97	к нему	2	4
98	хотя бы	5	4
99	связи с	3	4
100	ни с	2	4
101	быть и	2	4
102	от того	3	4
103	все это	6	4
104	другой стороны	5	4
105	как нечто	8	4
106	в связи	2	4
107	таким образом	19	4
108	что оно	2	4
109	и вот	3	4
110	заключается в	4	4
111	самом деле	6	4
112	есть только	2	4
113	а в	5	4
114	одно из	5	4
115	могут быть	4	4
116	в другом	3	4
117	как он	6	4
118	не менее	8	3
119	и уже	3	3
120	же как	3	3
121	е в	4	3
122	иное как	5	3
123	о чем	4	3
124	в этих	3	3
125	вопрос о	8	3
126	не что	4	3
127	а только	8	3
128	об этом	5	3
129	как мы	9	3
130	что иное	4	3
131	уже не	5	3
132	в этой	3	3
133	что если	2	3
134	только как	6	3
135	было бы	5	3
136	себе и	2	3
137	или вообще	5	3
138	из них	3	3
139	искусство и	2	3
140	и тогда	3	3
141	мы говорим	2	3
142	с этим	2	3
143	в разных	5	3
144	мы имеем	3	3
145	в той	7	3
146	во внимание	2	3
147	что такое	10	3
148	после этого	2	3
149	принять во	2	3
150	в данном	11	3
151	от этого	5	3
152	нуждается в	2	3
153	это только	4	3
154	о котором	8	3
155	будто бы	2	3
156	его в	6	3
157	или как	3	3
158	когда мы	2	3
159	в чем	4	3
160	ничего не	2	3
161	что же	3	2
162	связана с	4	2
163	зависит от	3	2
164	в разной	2	2
165	это может	2	2
166	само по	3	2
167	уже и	7	2
168	другого рода	2	2
169	что время	2	2
170	в частности	3	2
171	мере в	4	2
172	понятно что	3	2
173	следует что	2	2
174	в какой	4	2
175	в конце	3	2
176	именно в	8	2
177	в тех	2	2
178	то это	3	2
179	к тому	4	2
180	тем не	8	2
181	что уже	3	2
182	это еще	2	2
183	в широком	7	2
184	но все	3	2
185	так чтобы	3	2
186	в истории	9	2
187	с тем	6	2
188	что с	3	2
189	до сих	5	2
190	в общем	12	2
191	своей природе	3	2
192	в сущности	3	2
193	несмотря на	2	2
194	которые были	2	2
195	он мог	3	2
196	в ней	3	2
197	всяком случае	3	2
198	так или	4	2
199	говоря уже	2	2
200	сих пор	5	2
201	себя в	2	2
202	во всех	2	2
203	не говоря	2	2
204	дело не	3	2
205	был в	2	2
206	данном случае	5	2
207	в каждом	4	2
208	в их	11	2
209	тому что	2	2
210	так же	3	2
211	т п	5	2
212	например в	2	2
213	того как	3	2
214	с одной	4	2
215	хотя в	2	2
216	можно только	2	2
217	а потому	3	2
218	тех или	3	2
219	времени в	3	2
220	в очень	3	2
221	бы и	2	2
222	или иначе	4	2
223	широком смысле	8	2
224	в своих	2	2
225	и совершенно	2	2
226	также и	16	2
227	в результате	3	2
228	и при	2	2
229	между тем	8	2
230	не как	3	2
231	тем что	6	2
232	в виде	4	2
233	только о	2	2
234	что здесь	2	2
235	что мы	2	2
236	же самое	2	2
237	во всяком	3	2
238	но ведь	4	2
239	все эти	3	2
240	на вещи	2	2
241	в области	4	2
242	но в	10	2
243	взгляда на	4	2
244	вместе с	6	2
245	на этом	3	2
