N	2gram	Losev_Vesc_1	Hudozhes
1	том что	8	16
2	и в	21	14
3	так и	3	13
4	а не	19	12
5	в том	8	12
6	не только	36	12
7	о том	6	12
8	прежде всего	9	11
9	и т	19	11
10	в этом	4	11
11	в себе	14	11
12	для него	4	10
13	в своей	5	10
14	у него	2	9
15	как и	8	9
16	то же	6	9
17	то что	27	8
18	в этой	3	8
19	в то	3	8
20	в его	2	8
21	ничего не	3	8
22	это не	5	7
23	к тому	3	7
24	уже не	9	7
25	не в	5	7
26	еще не	8	7
27	как бы	12	7
28	не может	17	7
29	а в	4	7
30	не случайно	2	7
31	никогда не	2	6
32	что в	9	6
33	было бы	14	6
34	в первой	2	6
35	не менее	3	5
36	перед нами	2	5
37	к себе	4	5
38	об этом	3	5
39	может быть	16	5
40	только в	14	5
41	и а	2	5
42	но и	18	5
43	жизни и	2	5
44	самом деле	4	5
45	и его	2	5
46	можно было	2	5
47	потому что	16	5
48	точки зрения	5	5
49	но в	5	5
50	тому что	2	4
51	в своем	6	4
52	т е	55	4
53	и от	3	4
54	и все	5	4
55	бытия и	2	4
56	на то	4	4
57	можно сказать	6	4
58	а только	3	4
59	тем не	3	4
60	то в	4	4
61	она не	4	4
62	в действительности	7	4
63	мы уже	3	4
64	в самом	9	4
65	и о	3	4
66	в ней	12	4
67	один из	3	4
68	что она	15	4
69	себя в	10	4
70	из них	4	4
71	как раз	9	4
72	того что	8	4
73	только что	2	4
74	по своей	2	4
75	в конце	2	4
76	и это	14	4
77	с ним	8	4
78	и с	8	4
79	но не	5	3
80	если бы	5	3
81	отнюдь не	5	3
82	что у	5	3
83	но он	2	3
84	с этим	3	3
85	как мы	4	3
86	в ее	7	3
87	говорить о	6	3
88	на этом	2	3
89	по преимуществу	2	3
90	и когда	4	3
91	для себя	5	3
92	в нем	2	3
93	все же	4	3
94	со стороны	5	3
95	то и	4	3
96	т д	19	3
97	и для	9	3
98	все эти	3	3
99	того чтобы	3	3
100	и даже	6	3
101	с точки	3	3
102	или не	2	3
103	ничем не	3	3
104	тем что	2	3
105	как к	4	3
106	его в	2	3
107	все еще	3	2
108	и другое	4	2
109	тех кто	2	2
110	себя и	4	2
111	так или	4	2
112	и потому	5	2
113	в себя	13	2
114	ясно что	8	2
115	по себе	13	2
116	на столе	2	2
117	что на	2	2
118	не нужно	2	2
119	да и	3	2
120	или иную	2	2
121	так что	5	2
122	в другом	2	2
123	одна из	5	2
124	и что	15	2
125	ту или	2	2
126	со своим	7	2
127	только на	3	2
128	никак не	3	2
129	хотя и	4	2
130	для нее	2	2
131	не знаем	2	2
132	что же	8	2
133	но еще	3	2
134	все это	5	2
135	а и	9	2
136	а с	3	2
137	все равно	2	2
138	и не	29	2
139	но с	2	2
140	это так	3	2
141	что не	5	2
142	должно быть	6	2
143	той же	2	2
144	или иначе	4	2
145	с ними	3	2
146	тот момент	2	2
147	с этой	4	2
148	в результате	3	2
149	с ее	6	2
150	что я	24	2
151	слова в	2	2
152	со мною	2	2
153	говорится о	2	2
154	то чтобы	3	2
155	как она	4	2
156	я и	6	2
157	мы не	6	2
